"Michigan NPDES CAFO (General, Individual, and No Potential to Discharge) Permits as of Dec. 31, 2016",,,,,,,,,,,,,,,,,,,,,
CAFO Number,Permit Number,Permittee Name,Site Name*,Site Address 1,Site Address 2,Site City,Site State,Site Zip Code, Dairy/Dry Cows/Heifers , Beef Cattle/Veal Calves , Swine (All wgts.) , Layers/Broilers/Pullets , Turkeys , Total Animals ," Total CAFO waste,
gals. (liquid) "," Subsidies
1995-2014 "," MI Enforcement Actions
through 2016 ",County,Watershed,"Congressional
District",Additional Names/Previous Owners and Subsidy/MI Enforcement Action Recipients
1,MIG010260,"Ron Folkema, A&R Farms",A&R Farms-CAFO,8244 West 48th Street,NULL,Fremont,MI,49412,"  1,500 ",,,,,"  1,500 ","  8,423,205 "," $ 9,289 ",0,Newaygo,NE Lake Michigan,2,
2,MIG010177,Adam Farms,Adam Farms-CAFO,3665 Gettel Road,NULL,Sebewaing,MI,48759,,,"  3,000 ",,,"  3,000 ","  930,800 "," $ 382,478 ",1,Huron,SW Lake Huron,10,
3,MIG010217,James and Donna Kober,Alpine Pork LLC - CAFO,8151 Peach Ridge Ave. NW,NULL,Sparta,MI,49345,,,"  4,242 ",,,"  4,242 ","  1,455,000 ",,0,Kent,SE Lake Michigan,3,
4,MIG010083,Andrews University,Andrews University Dairy-CAFO,Andrews University,NULL,Berrien Springs,MI,49104,  890 ,,,,,  890 ,"  7,779,337 "," $ 757,882 ",1,Berrien,SE Lake Michigan,6,
5,MIG010158,John M. Verhaar,Aquila Farms-CAFO,3201 W. Soper Rd,NULL,Bad Axe,MI,48413,"  4,850 ",,,,,"  4,850 ","  34,985,400 "," $ 466,692 ",3,Huron,SW Lake Huron,10,
6,MIG010203,Ed Oplinger,ATE Farms LLC-CAFO,1/2 mile East of corner of North Sherman Road and 1/4 mile South of West Weidman Road,2000 feet east of North Wyman Rd. at the end of West Rosebush Rd.,Weidman,MI,48893,,,"  9,600 ",,,"  9,600 ","  2,635,695 "," $ 250,624 ",1,Isabella,Saginaw,4,Oplinger Farm and Son
7,MIG010234,Johnny Johannes Martinus Verhaar Jr.,Aurora Farms of Fairgrove-CAFO,2780 Fairgrove Rd,NULL,Fairgrove,MI,48733,  650 ,,,,,  650 ,"  8,405,907 ",,0,Tuscola,SW Lake Huron,10,Aurora Dairy
8,MIG010116,Autumn Vista Dairy,Autumn Vista Dairy-CAFO,NW Corner of Stoney Corners Road & Turnerville,"South of Stoney Corner Rd., just East of Turnerville",Mcbain,MI,49657,"  2,275 ",,,,,"  2,275 ","  33,221,388 "," $ 565,003 ",4,Missaukee,NE Lake Michigan,4,
9,MIG010030,Baker Farms,Baker Farms-CAFO,64191 N M66,NULL,Sturgis,MI,49091,,,"  3,000 ",,,"  3,000 ","  1,375,573 "," $ 3,814 ",5,St. Joseph,SE Lake Michigan,6,
10,MI0059009,Bakerlads Farm,Bakerlads Farm-CAFO,10960 Cadmus,NULL,Clayton,MI,49235,  520 ,,,,,  520 ,"  5,173,494 "," $ 1,272,806 ",3,Lenawee,W Lake Erie,7,Bakerlad Farm
11,MIG010144,Baur Farms LLC,Baur Farms LLC-CAFO,8085 Filion Road,NULL,Bay Port,MI,48720,"  1,277 ",,,,,"  1,277 ","  2,528,104 "," $ 643,448 ",1,Huron,SW Lake Huron,10,"Bauer Beef Co., Bauer Beef Company"
12,MIG010243,"Brad Polega, Owner",Bayside Livestock Co-CAFO,2284 Unionville Road,NULL,Sebewaing,MI,48759,,"  1,500 ",,,,"  1,500 ","  2,938,068 "," $ 40,000 ",1,Huron,SW Lake Huron,10,Bayside Livestock Company
13,MIG010199,Bill Henke,Beaver Creek Dairy-CAFO,18080 80th Avenue,NULL,Coopersville,MI,49404,"  3,450 ",,,,,"  3,450 ","  42,886,434 "," $ 36,147 ",6,Ottawa,SE Lake Michigan,2,
14,MIG010141,Bebow Dairy Farm,Bebow Dairy Farm - CAFO,9119 N Baldwin Rd,NULL,St. Louis,MI,48880,"  1,194 ",,,,,"  1,194 ","  11,800,000 "," $ 399,406 ",1,Gratiot,Saginaw,4,
15,MIG010166,Aaron Bennett,Bennett Farms Livestock-CAFO,8170 South Brucker,NULL,Fremont,MI,49412,,,"  8,200 ",,,"  8,200 ","  1,186,000 "," $ 516,747 ",2,Newaygo,NE Lake Michigan,2,"Bennett Farms Livestock, LLC"
16,MIG010191,Benthem Brothers LLC,Benthem Brothers Inc-CAFO,7927 West Stoney Corners Road,NULL,McBain,MI,49657,"  1,826 ",,,,,"  1,826 ","  10,359,986 "," $ 542,354 ",4,Missaukee,NE Lake Michigan,4,Benthem Brothers LLC
17,MIG010078,Berlyn Acres,Berlyn Acres-CAFO,2400 Thelen Rd,NULL,Fowler,MI,48835,"  3,000 ",,,,,"  3,000 ","  20,325,301 "," $ 1,002,174 ",2,Clinton,SE Lake Michigan,4,Berlyn Acres LLC
18,MI0057669,Bischer Farms,Bischer Farms-CAFO,6121 Purdy Road,NULL,Ruth,MI,48470,,"  7,601 ",,,,"  7,601 ","  12,933,735 "," $ 1,870,370 ",2,Huron,SW Lake Huron,10,
19,MIG010060,Bleich Dairy,Bleich Dairy - CAFO,14501 Steward Rd,NULL,Hudson,MI,49247,"  1,700 ",,,,,"  1,700 ","  15,037,349 "," $ 1,159,877 ",1,Hillsdale,W Lake Erie,7,
20,MIG010214,"Thomas Hicks, Owner",BMF Dairy LLC-CAFO,2124 S. Grove Rd.,2124 South Grove Road,St. Johns,MI,48879,"  1,250 ",,,,,"  1,250 ","  19,651,221 "," $ 1,624,454 ",5,Clinton,SE Lake Michigan,4,"BMF Dairy, Hicks Mega Farm, Thomas Hicks"
21,MIG010174,Bob Shinn Farms,Bob Shinn Farms - CAFO,7300 Brown Rd,NULL,Croswell,MI,48422,  730 ,,,,,  730 ,"  10,510,312 "," $ 127,925 ",3,Sanilac,St. Clair-Detroit,10,
