Facility Name,Address,City,County,State,Zip,Township,Watershed,Animal 1 Species,Animal 1 Count,Animal 2 Species,Animal 2 Count
"A & D Lennartz, LLC",3178 St. Peter Road,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Chickens-Layers,233520,Swine - under 55 lbs,1000
A and K Enterprises Inc.,21620 Courtney Road,Alliance,Mahoning,OH,44601,Smith,05030103 - Mahoning,Chickens-Broilers,135000,,
A.J. Evers & Sons,1105 Goettemoeller Rd.,Maria Stein,Mercer,OH,45860,Marion,05080001 - Upper Great Miami,Chickens-Layers,108500,,
Acheson Poultry,2120 Erastus-Durbin Road,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Chickens-Layers,137600,,
Albers Farm,5967 Depweg Road,Celina,Mercer,OH,45822,Butler,05120101 - Upper Wabash,Chickens-Layers,115000,Slaughter-Feeder-Heifer,150
"Allen Way Farms, LLC",4100 Helsey-Fusselman Rd.,Leavittsburg,Trumbull,OH,44430,Southington,05030103 - Mahoning,Chickens-Broilers,150000,,
Anderson Farms,9000 Greenville Road,Sidney,Shelby,OH,45365,Turtle Creek,05080001 - Upper Great Miami,Swine - over 55 lbs,3840,Beef,80
"Andreas Farms, Inc.",446 Ragersville Road SW,Sugarcreek,Tuscarawas,OH,44681,Auburn,05040001 - Tuscarawas,Dairy,1660,,
Arnold Road Farm,7410 Arnold Road ,Greenville,Darke,OH,45441,Greenville,05080001 - Upper Great Miami,Swine - over 55 lbs,8000,,
ASB Poultry,17915 County Rd. 3,Frazeysburg,Coshocton,OH,43822,Pike,05040004 - Muskinghum,Chickens-Broilers,216000,,
Badgett Enterprises LTD,163 Jenkins Road,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chickens-Layers,108000,,
Belterra Park Gaming ,6301 Kellogg Avenue,Cincinnati,Hamilton,OH,45230,Anderson,05090201 - Ohio Brush-Whiteoak,Horses,1034,,
Bernath Farms 1 and 2,8641 C. Rd. 18,Wauseon,Fulton,OH,43567,Dover,04100006 - Tiffin,Swine - over 55 lbs,5000,,
Best Road (formerly Willow Creek),21685 Best Road NE,Alliance,Mahoning,OH,44601,Smith,05030103 - Mahoning,Chickens-Broilers,135000,,
Bob Sinn Swine,15250 Rd. 24,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,4800,,
Bowersock Pork,03097 State Route 197,Spencerville,Auglaize,OH,45887,Salem,04100004 - St. Marys,Swine - over 55 lbs,4800,Beef,20
Boyer Farms,1974 C.R. 161,Oak Harbor,Ottawa,OH,43449,Harris,04100010 - Cedar-Portage,Swine - over 55 lbs,4800,,
Breeder Layer 2,9559 Jacob White Road,Johnstown,Licking,OH,43031,Monroe,05040006 - Licking,Chickens-Layers,125000,,
Brian Kremer Poultry,7865 Droesch Road,Maria Stein,Mercer,OH,45860,Marion,05120101 - Upper Wabash,Chickens-Layers,215000,,
"Bridgewater Dairy, LLC",14894 Road 8-50,Montpelier,Williams,OH,43543,Bridgewater,04100003 - St. Joseph,Dairy,3900,,
Bruce Rosswurm Swine Farm,5100 Road 59,Payne,Paulding,OH,45880,Blue Creek,04100007 - Auglaize,Swine - over 55 lbs,4800,,
"Brunswick Farms, Inc.",2138 Ft Recovery-Minster Rd.,Ft Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chickens-Layers,120600,,
Bussey Finishers,4435 Clark Station Road,Greenville,Darke,OH,45331,Liberty,05080001 - Upper Great Miami,Swine - over 55 lbs,4800,,
"C W Farms, LLC",3347 Mentzer Road,Convoy,Van Wert,Ohio,45832,Tully,04100007 - Auglaize,Swine - over 55 lbs,6500,,
"Cal Maine Foods, Inc. Rossburg Farm",3078 Washington Road,Rossburg,Darke,OH,45362,Brown,05080001 - Upper Great Miami,Chickens-Layers,993816,Chicken-Pullets,232544
"Cal-Maine Foods, Inc., Union City Farm",1039 Zumbrum Road,Union City,Darke,OH,45390,Brown,05080001 - Upper Great Miami,Chickens-Layers,1004544,,
Canal Farm,4486 Road 197,Cloverdale,Paulding,OH,45827,Washington,04100007 - Auglaize,Swine - over 55 lbs,3582,,
Catalpadale/Bristol Dairies,14981 Fox Lake Road,Marshallville,Wayne,OH,44645,Baughman,05040001 - Tuscarawas,Dairy,4400,Slaughter-Feeder-Heifer,1400
"Chase Chickens, LLC",7095 Chase Road. S.E.,Carrollton,Carroll,OH,44615,Lee,05030101 - Upper Ohio,Chickens-Broilers,165000,,
Cherrystone Farm,1593 Wildcat Road,Greenville,Darke,OH,45331,Washington,05080001 - Upper Great Miami,Chicken-Pullets,672000,,
"CJR Poultry & Swine, Inc. Layer Facility",4237 Ft. Recovery-Minster Rd.,St. Henry,Mercer,OH,45883,Granville,05120101 - Upper Wabash,Chickens-Layers,192960,,
"CJR Poultry & Swine, Inc. Swine Facility",4064 State Route 705,New Weston,Darke,OH,45348,Allen,05120101 - Upper Wabash,Swine - over 55 lbs,3840,,
CL Farm,155 Miami-Shelby West Road,Russia,Shelby,OH,45363,Loramie,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,
"Comp Dairy Farm, Ltd.",3015 Allen Comp Road,Dorset,Ashtabula,OH,44032,Dorset,04120200 - Lake Erie,Dairy,1759,Slaughter-Feeder-Heifer,750
"Continental Dairy, LLC  (formerly  Van Ham Dairy)",7089 Road 22,Continental,Putnam,OH,45831,Perry,04100008 - Blanchard,Dairy,2250,,
"Convoy Dairy, LLC (formerly Blue Stream Dairy)",3242 Mentzer Church Road,Convoy,Van Wert,OH,45832,Tully,04100007 - Auglaize,Dairy,2033,Slaughter-Feeder-Heifer,237
Courtney Road Farm LLC,22501 Courtney Road,Alliance,Mahoning,OH,44601,Smith,05030103 - Mahoning,Chickens-Broilers,135000,,
Creek View Farm,9257 S.R. 613,Paulding,Paulding,OH,45879,Paulding,04100007 - Auglaize,Swine - over 55 lbs,4800,,
Croton Hatchery and Breeder Pullet,8251 Benner Road,Johnstown,Licking,OH,43031,Bennington,05040006 - Licking,Chicken-Pullets,75000,Chickens-Layers,125000
Croton Layer 1,11995 Croton Road,Croton,Licking,OH,43013,Hartford,05040006 - Licking,Chickens-Layers,2401727,,
Croton Layer 2 New Day Farms,9300 Croton Road,Johnstown,Licking,OH,43031,Monroe,05040006 - Licking,Chickens-Layers,2489066,,
Croton Layer 3,11652 Clover Valley Road,Croton,Licking,OH,43031,Hartford,05060001 - Upper Scioto,Chickens-Layers,2489066,,
Croton Layer 4,11492 Westley Chapel Road,Croton,Licking,OH,43013,Hartford,05040006 - Licking,Chickens-Layers,2314384,,
Croton Pullet 1,9550 Parsons Road,Croton,Licking,OH,43013,Hartford,05040006 - Licking,Chicken-Pullets,884520,,
Croton Pullet 2,12280 Croton Road,Croton,Licking,OH,43013,Hartford,05040006 - Licking,Chicken-Pullets,1061424,,
Croton Pullet 3,10127 Benner Road,Croton,Licking,OH,43013,Hartford,05040006 - Licking,Chicken-Pullets,884520,,
CT Farms/Clover Four Inc.,7174 Four Clover Rd.,Celina,Mercer,OH,45822,Franklin,05120101 - Upper Wabash,Slaughter-Feeder-Heifer,600,Swine - over 55 lbs,3400
"D & J McKarns, LLC",34333 State Rt. 518,Hanoverton,Columbiana,OH,44423,Franklin,05030101 - Upper Ohio,Chickens-Broilers,150000,,
"D & T Poultry, Inc.",8372 County Road 219A,Celina,Mercer,OH,45822,Franklin,05120101 - Upper Wabash,Chickens-Layers,220320,,
"De Vries Dairy Ltd. North  (Formerly Springfield Dairy, LLC)",17495 CR C,Bryan,Williams,OH,43506,Pulaski,04100006 - Tiffin,Dairy,2400,,
"De Vries Dairy, LLC",7188 Sager Road,LaRue,Marion,OH,43332,Bowling Green,05060001 - Upper Scioto,Dairy,4000,,
"DEAM Hog, LLC",9600 N. Rangeline Road,Covington,Miami,OH,45318,Newberry,05080001 - Upper Great Miami,Swine - over 55 lbs,4400,,
Deer Run Farm,17501 Road 60,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,3500,,
"Del-Rod Farms, LLC",16614 County Road 16,Pioneer,Williams,Ohio,43554,Madison,04100003 - St. Joseph,Swine - over 55 lbs,5000,,
DeMange Poultry Farm,13642 Yorkshire-Osgood Road,Yorkshire,Darke,OH,45388,Patterson,05080001 - Upper Great Miami,Chickens-Layers,112000,,
Denise Pullet Farm,1046 Denise Road,Fort Recovery,Darke,OH,45846,Mississinawa,05120101 - Upper Wabash,Chicken-Pullets,400000,,
Dirmeyer Farms LLP,13149 Oswalt Good Road,Fort Recovery,Darke,OH,45846,Mississinawa,05120103 - Mississinewa,Swine - over 55 lbs,3840,,
Dull Homestead Inc.,10404 National Road,Brookville,Montgomery,OH,45309,Clay,05080002 - Lower Great Miami,Swine - over 55 lbs,4534,Swine - under 55 lbs,1700
Ed Bowman Swine Farm,3276 Orphans Road,Eldorado,Preble,OH,45321,Washington,05080002 - Lower Great Miami,Swine - over 55 lbs,9200,,
"Eichenauer Farms, Inc.",119 State Route 49,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chickens-Layers,308000,,
FDD Dairy,6642 Bennington Chapel Road,Centerburg,Licking,OH,43011,Bennington,05040006 - Licking,Dairy,1155,,
Feather Ridge Farm,21089 Jennings-Delphos Rd.,Delphos,Van Wert,OH,45833,Washington,04100007 - Auglaize,Chickens-Layers,183288,,
"Fenstermaker Farms, Inc.",1799 Road H,Leipsic,Putnam,OH,45856,Blanchard,04100009 - Lower Maumee,Swine - over 55 lbs,6780,Swine - under 55 lbs,2400
"Fine Oak Farms, LLC (formerly Gill Livestock)",3180 Davis Road,London,Madison,OH,43140,Union,05060002 - Lower Scioto,Swine - over 55 lbs,3200,,
