PRIMARY_FACILITY_ID,FACILITY_NAME,PERMIT_NO,CLIENT_ID,CLIENT_NAME,MUNICIPALITY,COUNTY,REGION,PERMIT_TYPE,FEE_CATEGORY,LATEST_PERMIT_ISSUE_DATE,AVAILABLE_LAND,TOTAL_AEUS,LOCATION_ADDRESS,LOCATION_ADDRESS_CITY_STATE_ZIP,ANIMAL_TYPES
744493,JAINDL TURKEY FARM,PA0065111,240427,JAINDL FARMS LLC,North Whitehall Twp,Lehigh,NERO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,03/30/2018,8867.80,4704,3150 COFFEETOWN RD,"OREFIELD, PA 18069-2511",Poultry - Turkey - Tom (0-18 wks) - 20.0 lbs (0.12-40)
744493,JAINDL TURKEY FARM,PA0065111,240427,JAINDL FARMS LLC,North Whitehall Twp,Lehigh,NERO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,03/30/2018,8867.80,4704,3150 COFFEETOWN RD,"OREFIELD, PA 18069-2511",Poultry - Turkey - Hen (0-12 wks) - 7.1 lbs (0.12-14)
550894,PERRY MEADOWS CAFO,PA0088064,216104,COUNTRY VIEW FAMILY FARMS LLC,Jackson Twp,Perry,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/04/2018,1,1342.30,2713 FOWLERS HOLLOW RD,"BLAIN, PA 17006",Swine - Wean to finish - 140 lbs (15-265)
550894,PERRY MEADOWS CAFO,PA0088064,216104,COUNTRY VIEW FAMILY FARMS LLC,Jackson Twp,Perry,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/04/2018,1,1342.30,2713 FOWLERS HOLLOW RD,"BLAIN, PA 17006",Swine - Gestating Sow - 400 lbs
550894,PERRY MEADOWS CAFO,PA0088064,216104,COUNTRY VIEW FAMILY FARMS LLC,Jackson Twp,Perry,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/04/2018,1,1342.30,2713 FOWLERS HOLLOW RD,"BLAIN, PA 17006",Swine - Sow and litter - 470 lbs
550894,PERRY MEADOWS CAFO,PA0088064,216104,COUNTRY VIEW FAMILY FARMS LLC,Jackson Twp,Perry,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/04/2018,1,1342.30,2713 FOWLERS HOLLOW RD,"BLAIN, PA 17006",Swine - Boar - 450 lbs
555759,HUSTON HOLLOW FARM CAFO,PA0088242,216104,COUNTRY VIEW FAMILY FARMS LLC,Taylor Twp,Fulton,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/27/2018,1,2984.25,2994 S MADDEN RD,"HUSTONTOWN, PA 17229-9155",Swine - Grow finish - 155 lbs (45-265)
555759,HUSTON HOLLOW FARM CAFO,PA0088242,216104,COUNTRY VIEW FAMILY FARMS LLC,Taylor Twp,Fulton,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/27/2018,1,2984.25,2994 S MADDEN RD,"HUSTONTOWN, PA 17229-9155",Swine - Gestating Sow - 400 lbs
555759,HUSTON HOLLOW FARM CAFO,PA0088242,216104,COUNTRY VIEW FAMILY FARMS LLC,Taylor Twp,Fulton,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/27/2018,1,2984.25,2994 S MADDEN RD,"HUSTONTOWN, PA 17229-9155",Swine - Sow and litter - 470 lbs
555759,HUSTON HOLLOW FARM CAFO,PA0088242,216104,COUNTRY VIEW FAMILY FARMS LLC,Taylor Twp,Fulton,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/27/2018,1,2984.25,2994 S MADDEN RD,"HUSTONTOWN, PA 17229-9155",Swine - Boar - 450 lbs
563437,KULP FAMILY DAIRY CAFO,PA0088404,145838,KULP FAMILY DAIRY LLC,North Woodbury Twp,Blair,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,01/25/2018,2660.90,4606.59,1691 MILLERSTOWN RD,"MARTINSBURG, PA 16662-8020",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
563437,KULP FAMILY DAIRY CAFO,PA0088404,145838,KULP FAMILY DAIRY LLC,North Woodbury Twp,Blair,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,01/25/2018,2660.90,4606.59,1691 MILLERSTOWN RD,"MARTINSBURG, PA 16662-8020",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
564210,EVERGREEN FARMS CAFO,PA0088561,145612,EVERGREEN FARMS INC,Franklin Twp,Huntingdon,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,11/17/2015,5371.30,7533.19,3102 EVERGREEN LN,"SPRUCE CREEK, PA 16683-1508",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
564210,EVERGREEN FARMS CAFO,PA0088561,145612,EVERGREEN FARMS INC,Franklin Twp,Huntingdon,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,11/17/2015,5371.30,7533.19,3102 EVERGREEN LN,"SPRUCE CREEK, PA 16683-1508",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
564210,EVERGREEN FARMS CAFO,PA0088561,145612,EVERGREEN FARMS INC,Franklin Twp,Huntingdon,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,11/17/2015,5371.30,7533.19,3102 EVERGREEN LN,"SPRUCE CREEK, PA 16683-1508",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
564210,EVERGREEN FARMS CAFO,PA0088561,145612,EVERGREEN FARMS INC,Franklin Twp,Huntingdon,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,11/17/2015,5371.30,7533.19,3102 EVERGREEN LN,"SPRUCE CREEK, PA 16683-1508",Dairy - Holstein/Brown Swiss - Bull - 1500 lbs
564215,WIDE AWAKE FARM CAFO,PA0088595,263132,WIDE AWAKE FARMS PARTNERSHIP,Monroe Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/22/2016,112.90,555.62,488 JAY RD,"CLEARVILLE, PA 15535-6201",Swine - Grow finish - 155 lbs (45-265)
564215,WIDE AWAKE FARM CAFO,PA0088595,263132,WIDE AWAKE FARMS PARTNERSHIP,Monroe Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/22/2016,112.90,555.62,488 JAY RD,"CLEARVILLE, PA 15535-6201",Swine - Gestating Sow - 400 lbs
