,Number of animals
0,1891.4114757181574
1,4359.696013747909
2,1303.407175246984
3,1099.2518486839208
4,3052.516945202452
5,3644.1404793271763
6,2903.682097343054
7,3348.781357679222
8,1475.340656469534
9,2347.826042694497
10,1308.81954485559
11,3953.1935850334453
12,1721.6098993787195
13,1599.0829732212926
14,2099.6399980791866
15,505.5930286820453
16,1855.5220892214907
17,1793.458291217782
18,2561.2671449481654
19,3857.1786072998025
20,2735.3451899589177
21,1184.588081758482
22,2214.318043994701
23,587.4640639668856
24,1990.6860326208655
25,1661.8945112395957
26,1964.7569179160257
27,3529.0791949692175
28,1282.4700341673724
29,1400.149240449152
30,3358.641290210623
31,1326.5822631576364
32,498.4250256890318
33,1262.7424843790996
34,1231.6176417694357
35,754.8647526117863
36,858.2226429662555
37,2952.908711521206
38,1227.7446833331833
39,2419.797398708975
40,1823.8898469472163
41,1043.7979446151903
42,4223.973824621091
43,412.95668042985596
44,1060.3186480945378
45,1849.4177438892816
46,974.8999696099654
47,3397.504076738204
48,2789.7420613140193
49,1884.858153164736
50,2190.8031256398044
51,1400.8996683649193
52,2020.4603870279752
53,1142.5525145962874
54,1956.3023066843953
55,3524.2904224441486
56,2589.425583345869
57,674.6605004845603
58,3472.7608125478473
59,2434.5322111985693
60,3778.523702850166
61,319.02224177883085
62,1261.174243682845
63,1912.7704551943316
64,352.9183378844312
65,2163.2970291604915
66,2716.85416708771
67,718.016974192549
68,2626.546406823511
69,1205.1052760013908
70,933.5922364677491
71,3171.64594210634
72,2223.1211609385246
73,3908.815184399981
74,4879.505145949128
75,2030.8518383376584
76,946.9014993287266
77,2252.969392845329
78,597.719963023992
79,1568.7139019085018
80,2474.7894295666306
81,607.068499213213
82,1112.1952650032854
83,2465.201813196364
84,539.7116867623581
85,1858.429604031095
86,4053.469364424924
87,3916.693708542491
88,671.5861717124458
89,375.3513125987411
90,541.468921381339
91,4432.531035894764
92,1606.0515092624075
93,2694.034403120559
94,2826.573328972972
95,1019.5930483473572
96,2573.4296245273617
97,878.9902837410194
98,3537.933032813885
99,3532.204210705065
100,1078.5671848638196
101,803.6205981136734
102,436.77400469100235
103,511.37717179377205
104,1303.1162022591498
105,906.7382400939033
106,1941.4273870930247
107,859.2554216155113
108,2931.4321947215203
109,2415.350810675467
110,1244.4429193466658
111,525.7320927515917
112,3271.0367993768896
113,944.8787464077055
114,2473.171673314599
115,1545.4145216800039
116,2149.7530647062767
117,1580.3180096659758
118,1521.261317181797
119,1590.788354307012
120,532.0993364580816
121,2273.0504184629017
122,1314.750248746938
123,1673.1462127449172
124,1073.9920671210195
125,2451.9434928027495
126,1072.4784540212927
127,3474.745310769711
128,404.3463199344469
129,3537.9095100442955
130,1965.9129978265787
131,1695.1049597863157
132,2786.41592604222
133,2451.9967018453344
134,2325.418068015243
135,1794.795307528996
136,1567.3672076060197
137,3773.9799675447057
138,3569.9918700035732
139,2516.54628588751
140,3246.110429270951
141,3388.422932083152
142,1104.6940388878925
143,1562.2014302803254
144,1801.661941714947
145,2566.872450356296
146,1899.8545625230258
147,3195.7254819463574
148,555.9980577463182
149,3241.839113488089
150,3227.9194274588167
151,1769.6820587678346
152,1220.6135547596305
153,2787.26322037627
154,1371.7523997425615
155,1465.8248334026691
156,4790.353393242148
157,1276.916248899904
158,2093.7027130161414
159,1313.8810503312116
160,1456.9682210901585
161,723.5384788471476
162,1068.9382824608447
163,3811.3747829904332
164,3020.014139675
165,2679.924899482107
166,1839.6528723763538
167,2553.9707977214957
168,1660.3040545355034
169,1760.1900393600722
170,1441.417022129226
171,3057.801312569489
172,2322.874749772312
173,2515.1486772131134
174,1715.9334695563214
175,779.3379168283316
176,1989.2916576734717
177,1964.8416642103193
178,3820.4538987124993
179,4295.930691633156
180,2701.703029612071
181,1480.009272030828
182,2449.5639254802973
183,704.4977703319793
184,3027.3258508340555
185,327.50822512717764
186,3037.259828305598
187,2516.9657172032644
188,3045.051138874877
189,819.2458142086839
190,783.7297204456511
191,3737.802919060863
192,2703.0845016054222
193,1600.8587862911536
194,1854.9441327566708
195,4140.002688117345
196,1630.3841295012417
197,3362.696645016817
198,2709.8713851889215
199,1078.2374643071807
200,582.1115240674724
201,2504.9455383514965
202,2957.0010021570656
203,1337.973683407058
204,2803.9046619747846
205,1088.5093260794492
206,2084.026072412377
207,302.17974160271245
208,2656.060928118205
209,1657.029534570865
210,858.8032468933897
211,1183.1809811922806
212,1595.3099445817359
213,472.76383250020115
214,699.039526210993
215,2231.9251709956634
216,891.330234150306
217,2514.6540825609213
218,830.5103961430674
219,3207.987784683602
220,2106.703746542069
221,2494.577982451502
222,672.0226120000236
223,791.3962659211538
224,1774.1716931670753
225,2209.172659323098
226,593.3100143933411
227,621.4418516187937
228,3468.8769143506843
229,3051.0922712253605
230,1758.7294666721853
231,529.1313262601473
232,2559.4089175500426
233,960.4108773210467
234,1665.1414458167137
235,2221.9494761699507
236,3946.329487653402
237,1424.2207818732768
238,2610.1943847824327
239,469.48769361967754
240,1054.357135396816
241,2542.375393331031
242,2112.8582500694192
243,1832.090457562422
244,3747.257968406066
245,1837.7248060888808
246,3854.5810345551245
247,2653.24438097414
248,1403.5061916532334
249,2702.004238250727
250,3654.57039954909
251,1985.2202381336012
252,2676.5193763187276
253,1831.7264522104026
254,1879.4082601238385
255,3142.832741726795
256,1479.9676872953985
257,1523.6382410003632
258,3286.2823444295414
259,1676.025928468879
260,1272.0051557235745
261,2472.7745526062486
262,772.0967251072514
263,636.3863445155096
264,1821.766094085047
265,1363.3894440829752
266,2990.801317580471
267,1629.1140457495771
268,2883.3952603047587
269,2129.3637698744737
270,2325.667294211882
271,2147.9241936421654
272,4435.19113518801
273,596.0745399964139
274,3450.1319676018647
275,3098.7467108131186
276,1609.607682544401
277,3750.9412886478995
278,2141.732163429886
279,741.8702752490548
280,2443.9086746023127
281,986.7880026580305
282,2177.744739681299
283,1717.7594036287765
284,3560.0033926398355
285,1862.6210565605163
286,3070.1969797141924
287,3640.9200886898534
288,5091.910810566389
289,4247.370820038529
290,1169.452974158165
291,1322.9275118633675
292,847.9879559878702
293,1559.0678435220625
294,504.35603890745006
295,2700.896167731152
296,1949.599047664387
297,929.715637732792
298,4031.899346898359
299,794.2648118718957
300,2781.9091209119747
301,1035.2774787962685
302,1302.3035953920926
303,1640.5990210732111
304,362.8580469413473
305,2025.005245962915
306,1327.1590679087208
307,646.2125102398668
308,479.07639610946376
309,2606.242233706219
310,381.98175950444295
