,Number of animals
0,463.6854562474323
1,1030.150829015347
2,633.6626415380349
3,1052.4661891687845
4,681.793511655999
5,1234.499637673546
6,661.3397192708164
7,712.8038833470794
8,574.9506147232041
9,813.4053223562506
10,1024.4596718223356
11,1063.88782765913
12,1280.27277175465
13,566.1741452246883
14,408.4619551554696
15,1324.6856187242586
16,601.5855325580789
17,724.7160885490606
18,890.6030629779387
19,426.5793305592744
20,907.9304472362368
21,1048.9318423454533
22,1068.1996052301247
23,859.4816682437264
24,1535.5410762209412
25,721.1280986002841
26,1117.128140547601
27,772.2598989228794
28,642.0363765669208
29,513.3267412471117
30,784.4001832533027
31,448.4820699325305
32,1049.1806312463941
33,1312.7462895015408
34,1523.7541098114323
35,1238.3442824828062
36,874.7791419379953
37,569.1449540253133
38,1753.0641321431635
39,344.23259818612553
40,853.8038051721167
41,554.6271727132166
42,1540.967582986412
43,535.3146414670941
44,1281.65871110023
45,846.5297498437201
46,1065.4396938831878
47,409.00498500405166
48,1223.5824691249181
49,984.610023052822
50,782.9171876420892
51,978.0446809330296
52,393.15231730138396
53,470.0532653960371
54,1090.1138566457448
55,778.5471290917831
56,775.6873564625657
57,1117.096540184366
58,1196.849819576735
59,1654.6360146296058
60,826.5843060111291
61,1585.720237612686
62,643.9325240795313
63,1136.0261944959982
64,933.8423736728301
65,549.4154440635403
66,920.3241362041529
67,1152.0966281216813
68,777.3632642956738
69,1109.3626649090768
70,1076.566133607046
71,366.95846206116005
72,1267.9346573603598
73,1560.4840961135567
74,517.6929616881438
75,448.48109907318087
76,1197.230329404962
77,498.9071339421588
78,503.597034564094
79,821.4052990967376
80,613.7118584886985
81,746.2699752657015
82,1672.5741631501478
83,1259.526981742808
84,948.6211661525239
85,1098.0480119162112
86,307.14721649626534
87,1306.9096559642837
88,1128.1399529115263
89,1179.7164778343854
90,799.7801513850021
91,1109.1822569231513
92,1048.5104260329608
93,965.9098306232626
94,515.2265889591916
95,1070.4143502275117
96,1086.5956130459515
97,1277.2517432962163
98,342.70470898132453
99,1094.4740767202018
100,438.0603004444896
101,784.3157715750492
102,732.9881079741272
103,460.24386323054205
104,721.6344400470991
105,351.8008930483652
106,1479.944651141123
107,1366.905760059849
108,1028.2443279084296
109,414.47195548247805
110,1803.4409053493548
111,406.500457249787
112,597.0442334761484
113,427.7679461231754
114,995.6537212111784
115,1087.2908009579096
116,592.727995748351
117,1110.0545360024385
118,406.174930313606
119,806.9940418256624
120,1057.5308155293399
121,394.5043916909755
122,624.9643773615011
123,734.6646196716023
124,549.049779295945
125,731.7867589876744
126,757.219624485803
127,786.5753918680242
128,1251.6825862938954
129,1043.272400624658
130,1070.0351876286193
131,1337.075381181654
132,1350.9499148742766
133,1239.1030092042142
134,324.7934451360345
135,1548.6108688767467
136,612.1109654088932
137,1862.9249992828268
138,517.7287787758708
139,503.7434527620668
140,612.7810232852609
141,958.0244580296572
142,1565.634202620614
143,843.813507862659
144,769.0514930843742
145,830.961592792951
146,956.394909122591
147,1798.2850136958116
148,1471.2339486548726
149,590.5639898813697
150,961.199831664275
151,794.7483186993225
152,636.9710052448606
153,845.2490611158029
154,1228.3294420837412
155,480.34037344519345
156,612.6741414875395
157,354.70736508956384
158,478.65552562457685
159,340.4349769158263
160,492.6559621140492
161,740.199391706286
162,1384.1024958812006
163,425.38004063008793
164,362.8790046836846
165,344.0320378292282
166,1247.419463498444
167,895.7102197787813
168,666.3804504102752
169,1008.4063819686006
170,951.1063879660778
171,437.1852835680004
172,971.9792332179027
173,2007.2160785303042
174,379.3442473768079
175,1235.32921724622
176,589.6302176847533
177,328.31646466459705
178,719.1904286745973
179,1059.5259516075048
180,1360.0349927916186
181,1048.8329542539486
182,579.0618606636108
183,1361.7674074055628
184,580.5578472729358
185,695.5170702802496
186,447.4760909370064
187,772.3714469823489
188,908.1003299114611
189,1245.9037863383796
190,824.5100775069038
191,1081.4435411453892
192,774.8266920494801
193,836.5871080427977
194,1799.925071020376
195,685.8153859577001
196,1077.6748210670407
197,468.7336974180784
198,781.6883876475939
199,571.2736337309386
200,394.5463036010364
201,1191.750579367556
202,626.6720950763614
203,615.7801524819359
204,552.28426758742
205,665.7522522507519
206,920.4204609305875
207,1220.4309695825723
208,649.4431122814404
209,1196.6931195806765
210,689.7847496535067
211,700.7496339875314
212,876.5242766314636
213,775.2465235169202
214,362.451659878937
215,1062.7056189207983
216,1449.9276862360557
217,861.4838619000348
218,994.7244935879543
219,829.7159487273544
220,790.8431093080519
221,696.5158183937008
222,1057.6711881676538
223,1065.5737389930437
224,540.425340089355
225,1013.8477945063343
226,1054.0833216108986
227,975.8675608983137
228,504.01412840923194
229,454.5232619130453
230,1799.5405471553295
231,311.61743866235514
232,1557.8032011944035
233,862.9989990823806
234,344.1500578950621
235,596.4212903066726
236,762.2581636262398
237,367.0135377190387
238,1103.2466054824024
239,1522.8703304032588
240,909.3438000609739
241,1439.8174627747665
242,800.984328504278
243,1207.8671303820347
244,613.5331096886587
245,542.271947144679
246,962.6223071041604
247,766.372227756999
248,327.14987666405665
249,1671.7935538445568
250,761.7534901556251
251,866.4431842672146
252,919.5980281337567
253,649.3058206783386
254,886.2517425693163
255,643.022878305258
256,702.5791291413437
257,521.8198568723516
258,947.7313326102362
259,517.0730754106942
260,573.9536377543259
261,569.0224676913888
262,587.8220886257552
263,859.8480525360616
264,925.169203888376
265,964.0049281156083
266,665.1818234559352
267,794.6226553324047
268,1006.947357001463
269,821.5390670390741
270,568.5778619334097
271,356.37080679635847
272,1083.108771247008
273,1106.0051994186872
274,2092.909904393265
275,902.2249364528645
276,888.8858306307407
277,682.0076741899122
278,535.917701349902
279,1176.4545041324816
280,516.3688821700536
281,909.419365901169
282,456.7361544628213
283,848.8248017081735
284,497.5462701721558
285,537.3445160099174
286,1026.154171507519
287,1432.703862881913
288,1290.065831132495
289,412.32127274165083
290,693.8896381197817
291,386.33538982740447
292,989.6748968686514
293,667.6834115904103
294,575.8694827190468
295,1054.9086611680245
296,1277.3039570431956
297,1206.0369666079337
298,512.0679119455938
299,803.2377638752135
300,315.3105756648147
301,1240.2013052050877
302,984.6944725947526
303,436.3838255781378
304,852.8921738935375
305,1144.5004225638058
306,1045.4500061168924
307,1262.3800806010759
308,857.3728173871328
309,990.3305387855312
310,1120.8337952688144
311,1013.1762840888996
312,338.23169989178575
313,801.2940651316426
314,493.76688612325324
315,420.6942786121784
316,485.78359552006157
317,704.9232864868097
318,1264.1038820840454
319,416.49568640034005
320,663.3589280789727
321,844.3184106538496
322,2175.348510286185
323,976.5448701865726
324,328.3258783811319
325,422.68430949503187
326,1274.0910513802014
327,900.7501411278366
328,823.090161591412
329,729.3402960039427
330,1278.7530810681126
331,1321.4828405725084
332,1337.0657362392253
333,499.37358589066775
334,562.211688709581
335,1158.7672204911437
336,665.3627597302576
337,1157.864580444847
338,371.8113323573366
339,1277.4023699640645
340,686.9593509549159
341,702.0020175856869
342,1450.1249268983167
343,602.412702692997
344,748.6009444894325
345,507.3278830633527
346,1384.2038278039804
347,483.85843791650484
348,1505.4338601279694
349,665.451689819582
350,1269.5760580100375
351,454.4982493434792
352,829.076860711484
353,1133.4977741202483
354,570.8369381283499
355,948.5655772856551
356,729.2458795591517
357,1065.730800166603
358,1019.5705584684226
359,1431.4159123126149
360,633.871136597971
361,699.4385692046108
362,1358.451829429058
363,399.2463709486357
364,543.0608485187404
365,644.1539808232519
366,866.7648073398836
367,662.8984110053628
368,376.85873159584503
369,757.8997570570322
370,799.8187923480225
371,1129.2675290641514
372,1099.2578381781868
373,1289.79914697534
374,512.7043019110301
375,1590.4878594251113
376,1166.9507641629384
377,803.3546409489923
