,index,Physical Address,latitude,longitude,NURSERY_PI,FINISHERS,SOWS,BOARS,Animal Units
0,0,7649 S CR 150 E,39.77427,-87.436465,3200.0,10664.0,0.0,0.0,1525.1925192519252
1,4,15793 E CR 800 N,39.320588,-85.750476,4000.0,0.0,0.0,0.0,440.04400440044003
2,6,9844 W CR 100 N,39.350075,-85.658551,1000.0,2000.0,7470.0,0.0,3127.7858122890943
3,8,SR 25 & CR 1300 W,41.17294553,-86.07361571,1020.0,1780.0,0.0,0.0,308.03080308030803
4,12,10564 W CR 200 S,40.134975,-85.176374,0.0,4400.0,0.0,0.0,484.04840484048407
5,14,6606 S CR 800 W,41.513301,-86.855356,3600.0,0.0,0.0,0.0,396.03960396039605
6,16,12887 Riley Rd,41.50811508,-86.11570653,4000.0,3280.0,1334.0,0.0,1300.5055561735949
7,18,3484 W CR 1100 S,39.22812719,-87.17495596,0.0,10800.0,0.0,0.0,1188.118811881188
8,19,CR 200 N & CR 1050 W,41.09234,-86.804814,0.0,3000.0,0.0,0.0,330.03300330033005
9,21,CR 600 W & CR 1200 N,40.364271,-85.493716,0.0,4000.0,0.0,0.0,440.04400440044003
10,23,3510 W CR 150 S,40.142436,-85.044905,0.0,6600.0,0.0,0.0,726.072607260726
11,25,2831 S CR 350 E,40.505474,-86.458593,0.0,9900.0,0.0,0.0,1089.1089108910892
12,26,8980 S CR 350 W,41.034041,-85.558887,0.0,4420.0,0.0,0.0,486.2486248624863
13,28,4230 N CR 200 W,39.81226405,-86.55998222,1760.0,2620.0,471.0,0.0,658.2526792005043
14,30,CR 100 S & CR 350 W,40.532894,-86.610851,0.0,0.0,1424.0,0.0,533.3333333333334
15,31,SR 105 & CR 900 W,40.70217659,-85.62027345,1900.0,5650.0,1039.0,0.0,1219.7216350848569
16,34,1415 E SR 47,40.12629265,-86.44255146,1000.0,1925.0,303.0,0.0,435.2653242852375
17,35,9614 N CR 575 E,39.752996,-85.342946,975.0,1200.0,300.0,14.0,356.87692364742094
18,36,9627 N CR 800 E,39.75441,-85.30148,0.0,2000.0,400.0,0.0,369.83473628261703
19,38,2536 E CR 1100 S,40.591287,-86.820569,1000.0,1890.0,0.0,0.0,317.93179317931794
20,41,SR 28 & CR 200 E,40.263896,-84.933654,0.0,3840.0,0.0,0.0,422.44224422442244
21,42,10315 S CR 500 E,39.46348,-85.348035,900.0,1800.0,400.0,0.0,446.84243705269404
22,43,3560 S CR 150 W,38.93232594,-85.63922088,0.0,115.0,1389.0,0.0,532.8759842276362
23,44,CR 225 W & CR 400 N,39.66555769,-85.48759244,0.0,3800.0,0.0,0.0,418.04180418041807
24,45,CR 550 W & CR 600 N,39.69899837,-85.50601544,0.0,3800.0,0.0,0.0,418.04180418041807
25,46,600 E Gings Rd,39.67619715,-85.43332627,0.0,3800.0,0.0,0.0,418.04180418041807
26,47,1470 Bogard  Bottom Ln,38.95237435,-86.96804504,0.0,10800.0,0.0,0.0,1188.118811881188
27,54,State Line Rd & CR 700 S,40.34106655,-84.80379241,0.0,3840.0,0.0,0.0,422.44224422442244
28,55,23094 Saint Croix Rd,38.17732287,-86.56159454,0.0,2800.0,0.0,0.0,308.03080308030803
29,56,1186 W Border Rd,38.92502866,-86.9629277,4000.0,0.0,1378.0,0.0,956.1488733142977
30,61,5055 N CR 300 E,40.835213,-86.017073,4000.0,4000.0,0.0,0.0,880.0880088008801
31,63,732 E Hamilton Rd,40.944529,-85.123928,0.0,9200.0,0.0,0.0,1012.1012101210122
32,64,9780 W CR 500 S,40.678038,-87.055932,2200.0,2200.0,0.0,0.0,484.04840484048407
33,65,1025 E CR 375 N,40.095443,-86.445532,0.0,1050.0,600.0,0.0,340.23065227871103
34,66,5879 S CR 60 SW,39.251161,-85.545611,0.0,4200.0,0.0,0.0,462.04620462046205
35,70,1803 N CR 600 E,40.18911,-84.862185,2000.0,2000.0,0.0,0.0,440.04400440044003
36,76,3521 N CR 300 W,40.79581267,-84.99534734,0.0,10000.0,0.0,0.0,1100.1100110011
37,77,11622 S SR 1,40.573629,-85.150099,0.0,7700.0,1566.0,0.0,1433.6015624034312
38,80,3310 E Snowden Rd,39.523453,-84.866561,0.0,0.0,1802.0,0.0,674.9063670411986
39,87,Base Rd & CR 500 E,39.64102812,-85.04394776,880.0,1350.0,182.0,0.0,313.489326460736
