,CAFO Number,Permit Number,Permittee Name,Site Name*,Site Address 1,Site Address 2,Site City,Site State,Site Zip Code, Dairy/Dry Cows/Heifers , Beef Cattle/Veal Calves , Swine (All wgts.) , Layers/Broilers/Pullets , Turkeys , Total Animals ," Total CAFO waste,
gals. (liquid) "," Subsidies
1995-2014 "," MI Enforcement Actions
through 2016 ",County,Watershed,"Congressional
District",Additional Names/Previous Owners and Subsidy/MI Enforcement Action Recipients,Animal Units
0,2,MIG010177,Adam Farms,Adam Farms-CAFO,3665 Gettel Road,,Sebewaing,MI,48759.0,,,3000.0,,,3000,930800.0," $ 382,478 ",1.0,Huron,SW Lake Huron,10.0,,330.03300330033005
1,3,MIG010217,James and Donna Kober,Alpine Pork LLC - CAFO,8151 Peach Ridge Ave. NW,,Sparta,MI,49345.0,,,4242.0,,,4242,1455000.0,,0.0,Kent,SE Lake Michigan,3.0,,466.6666666666667
2,6,MIG010203,Ed Oplinger,ATE Farms LLC-CAFO,1/2 mile East of corner of North Sherman Road and 1/4 mile South of West Weidman Road,2000 feet east of North Wyman Rd. at the end of West Rosebush Rd.,Weidman,MI,48893.0,,,9600.0,,,9600,2635695.0," $ 250,624 ",1.0,Isabella,Saginaw,4.0,Oplinger Farm and Son,1056.1056105610562
3,9,MIG010030,Baker Farms,Baker Farms-CAFO,64191 N M66,,Sturgis,MI,49091.0,,,3000.0,,,3000,1375573.0," $ 3,814 ",5.0,St. Joseph,SE Lake Michigan,6.0,,330.03300330033005
4,15,MIG010166,Aaron Bennett,Bennett Farms Livestock-CAFO,8170 South Brucker,,Fremont,MI,49412.0,,,8200.0,,,8200,1186000.0," $ 516,747 ",2.0,Newaygo,NE Lake Michigan,2.0,"Bennett Farms Livestock, LLC",902.0902090209021
5,22,MIG010075,"Boersen Farms Ag, LLC",Boersen Farms Ag-CAFO,64233 Baseline Rd.,,South Haven,MI,49090.0,,,4900.0,,,4900,1700000.0," $ 3,249,108 ",0.0,Van Buren,SE Lake Michigan,6.0,"Hinz Farms LLC, Stamp Farms LLC, Stamp Farms",539.0539053905391
6,23,MIG010067,"Boersen Farms, Inc.",Boerson Farms,6241 Ransom St.,,N. Zeeland,MI,49464.0,,,10180.0,,,10180,1733000.0," $ 498,289 ",0.0,Allegan,SE Lake Michigan,2.0,,1119.91199119912
7,24,MIG010222,Scot Boyd,Boyd Farms-CAFO,2501 70th Ave,,Evart,MI,49631.0,,,4677.0,,,4677,1000000.0,,0.0,Osceola,NE Lake Michigan,4.0,,514.5214521452145
8,28,MIG010037,Buerge Farm,Buerge Farm-CAFO,4862  West Hayes Road,,Middleton,MI,48856.0,,,8640.0,,,8640,4889700.0," $ 129,160 ",0.0,Gratiot,SE Lake Michigan,4.0,"Boehs Farm, Regal Boehs Farm",950.4950495049505
9,34,MIG010164,Jane and Michael Casassa,Casassa Hog Farm - CAFO,9254 Fergus Road,,Saint Charles,MI,48655.0,,180.0,5400.0,,,5580,2295960.0," $ 685,269 ",1.0,Saginaw,Saginaw,4.0,"Casassa Farms, Inc.",594.059405940594
