,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
0,9295 W US Hwy 30,2000.0,0.0,20865590.0,12251.19309204862,-68207.12850901371,-126306.30932790691,0.0,16692.471999999998,1053430.7707055672,128267.7461362111,178431.11616980954,No,No,52124.80684190264,0.0,41.434208,-86.876593,MULTIFORM
1,5882 N CR 600,1650.0,0.0,17214111.75,10107.234300940114,-66314.33337301061,-113056.74337588515,0.0,13771.2894,1053430.7707055672,105896.33898685638,156059.70902045484,No,No,43002.96564456968,0.0,41.10079487,-87.22074073,MULTIFORM
2,1255 N CR 225 W,750.0,0.0,7824596.25,4594.197409518233,-61193.157207410244,-78638.44346479882,0.0,6259.677000000001,1049140.9709612187,48226.15217521617,98185.2460305123,No,No,19546.802565713486,0.0,39.629311,-85.486919,MULTIFORM
3,CR 200 E & CR 250 S,300.0,0.0,3129838.5000000005,1837.678963807293,-58759.56346112053,-61603.287240770806,0.0,2503.8708000000006,1049140.9709612187,19462.914411760074,69422.0082670562,No,No,7818.721026285397,0.0,41.573057,-86.659164,MULTIFORM
4,6140 W CR 240 NW,575.0,0.0,5998857.124999999,3522.2180139639777,-60246.75963940869,-72013.66048878792,0.0,4799.0857,1049140.9709612187,37040.448600538795,86999.54245583492,No,No,14985.881967047006,0.0,39.36769977,-85.594474,MULTIFORM
5,3563 W Portersville Rd E,500.0,0.0,5216397.5,3062.798273012155,-59841.16068169374,-69174.46778478325,0.0,4173.1179999999995,1049140.9709612187,32246.57563996278,82205.66949525892,No,No,13031.20171047566,0.0,38.499632,-86.965386,MULTIFORM
6,76 E CR 800 S,1200.0,0.0,12519354.000000002,7350.715855229172,-63626.75095369997,-95673.59968882683,0.0,10015.483200000002,1049140.9709612187,76989.38993867229,126948.48379396842,No,No,31274.884105141587,0.0,41.11613568,-85.83391429999999,MULTIFORM
7,7170 S SR 19,560.0,0.0,5842365.2,3430.3340657736144,-60165.6398478657,-71445.82194798699,0.0,4673.89216,1049140.9709612187,36081.6740084236,86040.76786371972,No,No,14594.945915732742,0.0,41.12678,-86.038227,MULTIFORM
8,CR 20 E & CR 370 S,600.0,0.0,6259677.000000001,3675.357927614586,-60381.95929198035,-72960.05805678948,0.0,5007.741600000001,1049140.9709612187,38638.406254064146,88597.50010936028,No,No,15637.442052570794,0.0,40.96555854,-87.04139007,MULTIFORM
9,3082 E CR 550 S,557.0,0.0,5811066.815,3411.957276135541,-60149.4158895571,-71332.2542398268,0.0,4648.853452,1049140.9709612187,35889.919090000556,85849.01294529668,No,No,14516.758705469885,0.0,40.975321,-86.188139,MULTIFORM
10,CR 1100 W & CR 1200 N,1000.0,0.0,10432795.0,6125.59654602431,-62545.153733126754,-88102.41914481437,0.0,8346.235999999999,1049140.9709612187,64205.72871046956,114164.82256576569,No,No,26062.40342095132,0.0,41.10080936,-87.256288,MULTIFORM
11,3847 S CR 75 W,605.0,0.0,6311840.975,3705.9859103447084,-60408.99922249467,-73149.33757038979,0.0,5049.47278,1049140.9709612187,38957.997784769206,88917.09164006534,No,No,15767.754069675553,0.0,38.293507,-86.91872099999999,MULTIFORM
12,5375 E Chapine Rd,475.0,0.0,4955577.625,2909.658359361548,-59705.96102912208,-68228.07021678169,0.0,3964.4621,1049140.9709612187,30648.617986437443,80607.71184173357,No,No,12379.641624951875,0.0,41.16926127,-85.38935068,MULTIFORM
13,2399 E SR 252,410.0,0.0,4277445.95,2511.4945838699678,-59354.44193243579,-65767.43653997764,0.0,3421.9567600000005,1049140.9709612187,26493.928087271557,76453.02194256769,No,No,10685.58540259004,0.0,39.40201,-86.066867,MULTIFORM
14,2471 S CR 100 E,1400.0,0.0,14605913.000000002,8575.835164434035,-64708.34817427317,-103244.78023283927,0.0,11684.730400000002,1049140.9709612187,89773.05116687498,139732.1450221711,No,No,36487.36478933184,0.0,40.98283963,-87.37158746,MULTIFORM
15,9577 W CR 800 N,560.0,0.0,5842365.2,3430.3340657736144,-60165.6398478657,-71445.82194798699,0.0,4673.89216,1049140.9709612187,36081.6740084236,86040.76786371972,No,No,14594.945915732742,0.0,41.13008,-87.23019599999999,MULTIFORM
16,1947 E Division Rd,400.0,0.0,4173118.0000000005,2450.238618409724,-59300.36207140713,-65388.877512777035,0.0,3338.4944000000005,1049140.9709612187,25854.745025861434,75813.83888115757,No,No,10424.96136838053,0.0,40.43992458,-84.9408115,MULTIFORM
17,Pine Rd & Sunman Rd,600.0,0.0,6259677.000000001,3675.357927614586,-60381.95929198035,-72960.05805678948,0.0,5007.741600000001,1049140.9709612187,38638.406254064146,88597.50010936028,No,No,15637.442052570794,0.0,39.32563763,-85.11373854,MULTIFORM
18,CR 207 & CR 208,450.0,0.0,4694757.749999999,2756.518445710939,-59570.761376550436,-67281.67264878014,0.0,3755.8061999999995,1049140.9709612187,29050.6603329121,79009.75418820823,No,No,11728.08153942809,0.0,38.23625,-86.666347,MULTIFORM
19,2250 CR 1200 S,320.0,0.0,3338494.4000000004,1960.1908947277793,-58867.72318317785,-62360.40529517205,0.0,2670.79552,1049140.9709612187,20741.280534580346,70700.37438987648,No,No,8339.969094704426,0.0,41.057631,-85.877608,MULTIFORM
20,3014 S CR 700 E,850.0,0.0,8867875.750000002,5206.757064120664,-61733.95581769685,-82424.03373680504,0.0,7094.300600000001,1049140.9709612187,54617.98278931753,104577.07664461367,No,No,22153.042907808624,0.0,38.335845,-86.774638,MULTIFORM
21,5023 S CR 250 E,2485.0,0.0,25925495.574999996,15222.107416870407,-70830.00176890373,-144666.4221471371,0.0,20740.396459999996,1053430.7707055672,159268.12461460268,209431.4946482011,No,No,64765.07250106401,0.0,40.981405,-86.19762800000001,MULTIFORM
22,280 N CR 700 W,900.0,0.0,9389515.499999998,5513.036891421878,-62004.35512284015,-84316.82887280814,0.0,7511.612399999999,1049140.9709612187,57813.8980963682,107772.99195166433,No,No,23456.16307885618,0.0,41.070406,-86.73862700000001,MULTIFORM
23,7579 US Hwy 136,700.0,0.0,7302956.500000001,4287.917582217017,-60922.75790226695,-76745.64832879571,0.0,5842.365200000001,1049140.9709612187,45030.23686816549,94989.33072346162,No,No,18243.68239466592,0.0,40.08273831,-87.04527603,MULTIFORM
24,10857 Dalton Rd,425.0,0.0,4433937.875000001,2603.378532060332,-59435.56172397878,-66335.27508077858,0.0,3547.1503000000007,1049140.9709612187,27452.702679386766,77411.7965346829,No,No,11076.521453904312,0.0,39.986525,-85.181851,MULTIFORM
25,7496 W CR 500 S,795.0,0.0,8294072.025,4869.849254089327,-61436.51658203922,-80341.95908720161,0.0,6635.25762,1049140.9709612187,51102.475951561784,101061.56980685791,No,No,20719.6107196563,0.0,39.966708000000004,-86.609522,MULTIFORM
26,4919 Serum Plant Rd,415.0,0.0,4329609.925000001,2542.122566600089,-59381.481862950124,-65956.71605357795,0.0,3463.6879400000007,1049140.9709612187,26813.51961797663,76772.61347327277,No,No,10815.8974196948,0.0,40.111607,-86.590947,MULTIFORM
27,4748 S CR 000,480.0,0.0,5007741.6,2940.2863420916683,-59733.00095963642,-68417.349730382,0.0,4006.19328,1049140.9709612187,30968.209517142506,80927.30337243863,No,No,12509.953642056631,0.0,40.680964,-84.936573,MULTIFORM
28,402 W CR 100 N,6261.0,0.0,65319729.495,38352.3599746582,-125475.18539960535,-317934.1025334977,0.0,52255.783596,1681176.5857912193,401054.7824572539,481110.81035207387,No,No,163176.7078185762,0.0,40.765525,-86.87804799999999,MULTIFORM
29,2010 S Meridian,650.0,0.0,6781316.749999999,3981.637754915802,-60652.35859712365,-74852.8531927926,0.0,5425.0534,1049140.9709612187,41834.32156111481,91793.41541641095,No,No,16940.562223618355,0.0,40.26162308,-86.013071,MULTIFORM
30,5675 W CR 600 N,517.0,0.0,5393755.0150000015,3166.9334142945695,-59933.09644544247,-69818.01813102432,0.0,4315.004012000001,1049140.9709612187,33333.18684436002,83292.28069965614,No,No,13474.262568631835,0.0,40.490293,-87.015129,MULTIFORM
31,4450 N SR 9,1320.0,0.0,13771289.400000002,8085.787440752091,-64275.70928604388,-100216.3080152343,0.0,11017.031520000002,1049140.9709612187,84659.58667559392,134618.68053089007,No,No,34402.37251565574,0.0,41.228685999999996,-85.462598,MULTIFORM
32,1626 N CR 300 W,500.0,0.0,5216397.5,3062.798273012155,-59841.16068169374,-69174.46778478325,0.0,4173.1179999999995,1049140.9709612187,32246.57563996278,82205.66949525892,No,No,13031.20171047566,0.0,40.462253999999994,-85.03920500000001,MULTIFORM
33,4286 N CR 275 W,320.0,0.0,3338494.4000000004,1960.1908947277793,-58867.72318317785,-62360.40529517205,0.0,2670.79552,1049140.9709612187,20741.280534580346,70700.37438987648,No,No,8339.969094704426,0.0,40.605415,-86.575011,MULTIFORM
34,1518 E CR 900 S,330.0,0.0,3442822.3500000006,2021.4468601880228,-58921.80304420651,-62738.964322372674,0.0,2754.2578800000006,1049140.9709612187,21380.46359599048,71339.55745128662,No,No,8600.593128913935,0.0,40.611075,-85.192464,MULTIFORM
35,298 S CR 650 W,2000.0,0.0,20865590.0,12251.19309204862,-68207.12850901371,-126306.30932790691,0.0,16692.471999999998,1053430.7707055672,128267.7461362111,178431.11616980954,No,No,52124.80684190264,0.0,41.00734091,-87.17086182,MULTIFORM
36,2270 N CR 900 E,481.0,0.0,6650173.965500001,4189.227730494837,-60857.51191160772,-76288.92639418114,0.0,5320.139172400001,1049140.9709612187,44021.36267891238,93980.45653420851,No,No,17691.53014002737,0.0,39.964515000000006,-85.213561,MULTIFORM
37,11505 13th Rd,1947.0,0.0,26918687.548499998,16957.22742468492,-72450.42930906672,-156009.4149282779,0.0,21534.950038799998,1053430.7707055672,177458.12219745136,227621.4922310498,No,No,71612.07730277191,0.0,41.28784272,-86.28012279,MULTIFORM
38,789 E Old Kokomo Rd,730.0,0.0,10092779.615000002,6357.871607611707,-62783.42818199318,-89770.34028687933,0.0,8074.223692000002,1049140.9709612187,66661.17782912994,116620.27168442607,No,No,26849.931397546738,0.0,40.493311,-85.64625799999999,MULTIFORM
