,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
0,2284 Unionville Road Sebewaing 48759,1500.0,0.0,15649192.5,9188.394819036466,-65503.13545758069,-107378.35796787581,0.0,12519.354000000001,1053430.7707055672,96308.59306570434,146471.96309930278,No,No,39093.60513142697,0.0,43.7216615,-83.44599790000002,MULTIFORM
1,6121 Purdy Road Ruth 48470,7601.0,0.0,79299674.79500002,46560.65934633079,-80888.42216686456,-98549.5646405725,0.0,63439.739836000015,1403008.1715824383,197209.85513363828,264019.76806613535,No,No,165470.20342556285,0.0,43.7579545,-82.7754145,NURESYS
2,3977 North Bliss Road Alma 48801,2000.0,0.0,20865590.0,12251.19309204862,-68207.12850901371,-126306.30932790691,0.0,16692.471999999998,1053430.7707055672,128267.7461362111,178431.11616980954,No,No,52124.80684190264,0.0,43.3558331,-84.7689237,MULTIFORM
3,10068 Luce Rd Alma 48801,4500.0,0.0,46947577.50000001,27565.1844571094,-78450.19684988212,-85207.5160187684,0.0,37558.062000000005,1391831.5857912193,116892.70994761631,183170.40450910293,No,No,97962.88849033455,0.0,43.4427783,-84.69305750000002,NURESYS
4,10068 Luce Rd Alma 48801,4500.0,0.0,46947577.50000001,27565.1844571094,-78450.19684988212,-85207.5160187684,0.0,37558.062000000005,1391831.5857912193,116892.70994761631,183170.40450910293,No,No,97962.88849033455,0.0,43.4427783,-84.69305750000002,NURESYS
5,775 Carpenter Rd Bad Axe 48413,2900.0,0.0,30255105.5,17764.229983470497,-73285.33866569573,-160938.50872946368,0.0,24204.0844,1056176.5857912193,186225.3555173073,236519.4786502225,No,No,75580.96992075884,0.0,43.8225278,-82.94244189999998,MULTIFORM
6,2258 Thomas Rd Bad Axe 48413,950.0,0.0,9911155.25,5819.316718723096,-62274.754427983455,-86209.62400881127,0.0,7928.9242,1049140.9709612187,61009.813403418884,110968.90725871501,No,No,24759.28324990375,0.0,43.771926500000006,-83.0402656,MULTIFORM
7,8891 36 Mile Rd Romeo 48065,2375.0,0.0,24777888.125,14548.291796807734,-70235.12329758846,-140502.2728479302,0.0,19822.3105,1053430.7707055672,152237.1109390912,202400.48097268963,No,No,61898.208124759396,0.0,42.862065,-83.032296,MULTIFORM
8,3922 147th Avenue Zeeland 49464,500.0,0.0,5216397.5,3062.798273012155,-59841.16068169374,-69174.46778478325,0.0,4173.1179999999995,1049140.9709612187,32246.57563996278,82205.66949525892,No,No,13031.20171047566,0.0,42.7593428,-85.93266340000002,MULTIFORM
9,8147 AB Avenue Richland 49083,1990.0,0.0,20761262.05,12189.93712658838,-68153.04864798505,-125927.75030070628,0.0,16609.00964,1053430.7707055672,127628.56307480096,177791.9331083994,No,No,51864.18280769313,0.0,42.4167203,-85.46987850000002,MULTIFORM
