,Address,Animal Units,Electricity incentive (USD/year),Facility Name,Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
0,11002 Reed Road Versailles Darke OH 45380,4000,0.0,FNW Enterprise LLC,41731180.0,24502.38618409724,-113247.72882102526,-232341.90648343693,0.0,33384.943999999996,1681176.5857912193,256535.4922724222,336591.5201672422,No,No,104249.61368380528,0.0,40.242351,-84.489503,MULTIFORM
1,3381 Harrison Rd Celina Mercer OH 43822,2070,0.0,John Fleck & Sons Inc.,21595885.65,12679.98485027032,-68585.68753621432,-128956.22251831125,0.0,17276.70852,1053430.7707055672,132742.02756608205,182905.39759968047,No,No,53949.175081369234,0.0,40.4480059,-84.50806539999998,MULTIFORM
2,8704 St. Rt. 274 New Bremen Mercer OH 45869,1085,0.0,JP Poultry,11319582.575000003,6646.272252436377,-63004.83255187038,-91320.17087601966,0.0,9055.666060000003,1049140.9709612187,69638.78473245572,119597.87858775185,No,No,28277.707711732186,0.0,40.4365467,-84.46604520000001,MULTIFORM
3,1630 State Route 707 Rockford Mercer OH 45882,820,0.0,KFS Farms LLC,8554891.9,5022.9891677399355,-61571.716234610874,-81288.35665520316,0.0,6843.913520000001,1049140.9709612187,52700.43360508711,102659.52746038325,No,No,21371.17080518008,0.0,40.652235,-84.74242300000002,MULTIFORM
4,4084 Prairie Rd. Bellevue Huron OH 44811,1200,0.0,Lepley Farms LLC,12519354.000000002,7350.715855229172,-63626.75095369997,-95673.59968882683,0.0,10015.483200000002,1049140.9709612187,76989.38993867229,126948.48379396842,No,No,31274.884105141587,0.0,41.2549089,-82.80855840000001,MULTIFORM
5,20858 Co. Rd. P Alvordton Williams OH 43501,3600,0.0,Mill Creek Dairy LLC,37558061.99999999,22052.14756568751,-111084.53437987884,-217199.54539541202,0.0,30046.449599999996,1681176.5857912193,230968.16981601677,311024.1977108368,No,No,93824.65231542473,0.0,41.651319,-84.420608,MULTIFORM
6,15901 Middleburg Plain City Rd. Plain City Union OH 43064,1072,0.0,Select Sires Hoyt PGA Center,11183956.240000002,6566.639497338062,-62934.528732533116,-90828.04414065885,0.0,8947.164992000002,1049140.9709612187,68807.84675262254,118766.94060791867,No,No,27938.89646725982,0.0,40.137106700000004,-83.3342993,MULTIFORM
7,06083 Cicero Road Hicksville Defiance OH 43526,3020,0.0,Strong Farms LLC (formerly5 C's Farm  Inc.),31507040.900000002,18499.301568993415,-73934.29699803966,-165481.21705587118,0.0,25205.632720000005,1056176.5857912193,193895.55225422894,244189.67538714415,No,No,78708.45833127297,0.0,41.353264,-84.70945139999998,MULTIFORM
8,1000 Huntington Road South Charleston Clark OH 45368,9800,0.0,ST The Ohio Heifer Center,102241391.00000001,60030.84615103824,-141250.02166005166,23462.808907117695,0.0,81793.11280000002,3036638.8815824385,87346.89311427956,231948.74461820518,Yes,No,255411.55352532287,0.0,39.82234589999999,-83.626829,CRYSTALACTOR
9,20858 Co. Rd. P Alvordton Williams OH 43501,1838,0.0,"Mill Creek Dairy, LLC",25411683.469,16007.901390123723,-71607.35752805462,-150107.9124611931,0.0,20329.3467752,1053430.7707055672,167547.5203847055,217710.89041830396,No,No,67602.97795711082,0.0,41.651319,-84.420608,MULTIFORM
10,446 Ragersville Road SW Sugarcreek Tuscarawas OH 44681,1660,0.0,"Andreas Farms, Inc.",22950704.330000006,14457.625847445803,-70230.59810585136,-140470.59650577034,0.0,18360.563464000003,1053430.7707055672,151363.2348556344,201526.60488923284,No,No,61056.00838346247,0.0,40.430649100000004,-81.6442483,MULTIFORM
11,14894 Road 8-50 Montpelier Williams OH 43543,3900,0.0,"Bridgewater Dairy, LLC",53920329.45000001,33966.71132833652,-121780.73804210435,-292072.97103099077,0.0,43136.26356000001,1681176.5857912193,355461.7821093657,435517.81000418565,No,No,143444.83897319488,0.0,41.6315054,-84.6591829,MULTIFORM
12,14981 Fox Lake Road Marshallville Wayne OH 44645,4400,0.0,Catalpadale/Bristol Dairies,60833192.2,38321.41790889247,-125648.0397898663,-319144.0832653245,0.0,48666.55376,1681176.5857912193,400923.2583146218,480979.2862094418,No,No,161835.20294411728,0.0,40.885088200000006,-81.738337,MULTIFORM
13,3015 Allen Comp Road Dorset Ashtabula OH 44032,1759,0.0,"Comp Dairy Farm, Ltd.",24319451.154500008,15319.85775039588,-70996.32385190824,-145830.67672816844,0.0,19455.560923600005,1053430.7707055672,160364.6071442751,210527.97717787354,No,No,64697.30044970509,0.0,41.6596283,-80.6733296,MULTIFORM
14,7089 Road 22 Continental Putnam OH 45831,2250,0.0,"Continental Dairy, LLC  (formerly  Van Ham Dairy)",31107882.37500001,19596.179612501837,-75005.03683231302,-172976.39589578487,0.0,24886.305900000007,1056176.5857912193,205438.91063202056,255733.03376493577,No,No,82756.63786915092,0.0,41.0768951,-84.2850038,MULTIFORM
