,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
0,"CLEARVILLE, PA 15535-8037",612.04,0.0,6385287.851800002,3749.11011002872,-60447.071444658846,-73415.84312553903,0.0,5108.230281440002,1049140.9709612187,39407.982660001944,89367.07651529807,No,No,15951.233389759047,0.0,39.9167511,-78.3839036,MULTIFORM
1,"NEW COLUMBIA, PA 17856-7002",1509.75,0.0,15750912.251249999,9248.119385360204,-65555.86332208362,-107747.45301939637,0.0,12600.729801000001,1053430.7707055672,96931.7965505792,147095.16658417764,No,No,39347.71356478126,0.0,41.0409176,-76.866908,MULTIFORM
2,"ROARING BRANCH, PA 17765-8824",1737.42,0.0,18126146.688899998,10642.733950993557,-66787.09951812314,-116366.10639167299,0.0,14500.917351119999,1053430.7707055672,111484.07730970377,161647.44734330222,No,No,45281.34095162923,0.0,41.565631200000006,-76.9527422,MULTIFORM
3,"NEW COLUMBIA, PA 17856-9407",384.34,0.0,4009740.4303,2354.311776498984,-59215.67300903625,-64796.05407618085,0.0,3207.79234424,1049140.9709612187,24853.784351693153,74812.87820698929,No,No,10016.824130808433,0.0,41.0409176,-76.866908,MULTIFORM
4,"MILL HALL, PA 17751-8876",1070.86,0.0,11172062.8537,6559.656317275593,-62928.36362837584,-90784.88841155797,0.0,8937.650282960001,1049140.9709612187,68734.97988362178,118694.07373891791,No,No,27909.185327359937,0.0,41.10729,-77.48443,MULTIFORM
5,"LEWISTOWN, PA 17044-8601",720.52,0.0,7517037.4534,4413.614823341436,-61033.72977709775,-77522.45145261138,0.0,6013.629962720001,1049140.9709612187,46341.84051017909,96300.93436547523,No,No,18778.482912863845,0.0,40.5992395,-77.571382,MULTIFORM
6,"SCHAEFFERSTOWN, PA 17088",915.3,0.0,9549137.263500001,5606.758518576052,-62087.097310214,-84896.0241844251,0.0,7639.309810800001,1049140.9709612187,58791.84818032571,108750.94203562185,No,No,23854.91785119674,0.0,40.301745399999994,-76.2841154,MULTIFORM
7,"PEACH BOTTOM, PA 17563-9717",660.18,0.0,6887522.6031,4043.9963277543284,-60707.41189565083,-75238.22628248282,0.0,5510.01808248,1049140.9709612187,42485.009917630334,92444.10377292646,No,No,17205.87749044364,0.0,39.7506049,-76.2269212,MULTIFORM
8,"QUARRYVILLE, PA 17566-9790",113.92,0.0,1188504.0063999998,697.8279585230894,-57753.24540709922,-54559.06086262162,0.0,950.8032051199999,1049140.9709612187,7568.996005040264,57528.0898603364,No,No,2969.028997714774,0.0,39.897047,-76.1635655,MULTIFORM
9,"LOYSVILLE, PA 17047-9154",619.3,0.0,6461029.9435,3793.5819409528544,-60486.33342376566,-73690.67697928668,0.0,5168.8239548,1049140.9709612187,39872.029562585696,89831.12341788183,No,No,16140.446438595149,0.0,40.3656102,-77.3445942,MULTIFORM
