,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),Total manure (lbs/yr) ,Total manure method 2 (lbs/yr),Type,latitude,longitude,node ,number,tech_selected
0,"W6920 Grogan Rd, Fort Atkinson, WI 53538",1000,0.0,10432795.0,6125.59654602431,-62545.153733126754,-88102.41914481437,0.0,8346.235999999999,1049140.9709612187,64205.72871046956,114164.82256576569,No,No,26062.40342095132,0.0,37986000.0,37986000.0,beef,42.856751,-88.877218,n1,1,MULTIFORM
1,"9819 S Gustafson Rd, Clinton, WI 53525",2013,0.0,21001216.335,12330.825847146938,-68277.43232835096,-126798.43606326771,0.0,16800.973068000003,1053430.7707055672,129098.68411604429,179262.05414964273,No,No,52463.61808637502,0.0,76465818.0,76465818.0,beef,42.5343778,-88.91158809999999,n2,2,MULTIFORM
2,"N9577 County Road F, Alma Center, WI 54611",1214,0.0,12665413.13,7436.474206873514,-63702.462759140086,-96203.5823269077,0.0,10132.330504000001,1049140.9709612187,77884.24622464647,127843.3400799426,No,No,31639.75775303491,0.0,46115004.0,46115004.0,beef,44.416614100000004,-90.9155646,n3,3,MULTIFORM
3,"464 Canal Road, Marshall, WI 53559",1604,0.0,16734203.18,9825.45685982299,-66065.56601227875,-111315.37185076228,0.0,13387.362544,1053430.7707055672,102956.09690436976,153119.46693796822,No,No,41804.09508720591,0.0,60929544.0,60929544.0,beef,43.188333899999996,-89.04151970000001,n4,4,MULTIFORM
4,"W7889 Reliance Road, Whitewater, WI 53190",860,0.0,8972203.7,5268.013029580907,-61788.03567872551,-82802.59276400565,0.0,7177.76296,1049140.9709612187,55257.16585072765,105216.25970602379,No,No,22413.666942018135,0.0,32667960.0,32667960.0,beef,42.80393,-88.686927,n5,5,MULTIFORM
5,"W11819 Blanecae Rd, Randolph, WI 53956",2792,0.0,29128363.64,17102.665556499876,-72701.2761665862,-156850.07123569702,0.0,23302.690912000002,1056176.5857912193,179322.1784540779,229616.3015869931,No,No,72766.2303512961,0.0,106056912.0,106056912.0,beef,43.60985,-88.994787,n6,6,MULTIFORM
6,"N3432 Cty BB, Columbus, WI 53925",1500,0.0,15649192.5,9188.394819036466,-65503.13545758069,-107378.35796787581,0.0,12519.354000000001,1053430.7707055672,96308.59306570434,146471.96309930278,No,No,39093.60513142697,0.0,56979000.0,56979000.0,beef,43.319185,-88.909296,n7,7,MULTIFORM
7,"E10941 River Rd, Sauk City, WI 53583",1105,0.0,11528238.475000001,6768.784183356865,-63112.992273927695,-92077.28893042092,0.0,9222.59078,1049140.9709612187,70917.150855276,120876.24471057214,No,No,28798.955780151216,0.0,41974530.0,41974530.0,beef,43.2619017,-89.7766429,n8,8,MULTIFORM
8,"N8148 Schaefer Rd, Malone, WI 53049",2521,0.0,34854653.98550001,21956.430579163167,-111114.7198217769,-217410.84348869848,0.0,27883.723188400007,1681176.5857912193,230079.03073526936,310135.05863008933,No,No,92724.21514139086,0.0,76395056.03244771,76616400.70588829,dairy ,43.835418,-88.293544,n9,9,MULTIFORM
9,"W4050 Cty Rd UU, Eden, WI 53019",2531,0.0,34992911.2405,22043.524710774287,-111192.06585673214,-217952.26573338517,0.0,27994.328992400002,1681176.5857912193,230988.26025937445,311044.2881541944,No,No,93092.02242080928,0.0,76698090.7648255,76920318.75410691,dairy ,43.702028999999996,-88.35827900000001,n10,10,MULTIFORM
10,"E2850 STH 72, Menomonie, WI 54751",4461,0.0,61676561.45550001,38852.69211172031,-126119.85060309328,-322446.7589579132,0.0,49341.24916440001,1681176.5857912193,406469.5584116631,486525.5863064831,No,No,164078.82734856987,0.0,135183794.113744,135576502.060281,dairy ,44.7769139,-92.0169157,n11,11,MULTIFORM
11,"N8322 County Rd Y, Seymour, WI 54165",1929,0.0,26669824.4895,16800.45798778491,-72311.20644614729,-155034.85488784188,0.0,21335.8595916,1053430.7707055672,175821.50905406216,225984.87908766058,No,No,70950.02419981871,0.0,58455399.87568089,58624452.2513521,dairy ,44.53579439999999,-88.2665348,n12,12,MULTIFORM
12,"N2729 Faas Road, Oostburg, WI 53070",1237,0.0,17102422.4435,10773.544080295453,-66958.86082724473,-117568.43555552402,0.0,13681.937954800002,1053430.7707055672,112902.82598598764,163066.1960195861,No,No,45497.76046406207,0.0,37485396.395136,37593323.314630605,dairy ,43.637721899999995,-87.806783,n13,13,MULTIFORM
13,"N17388 Cty Rd T, Galesville, WI 54630",2233,0.0,30872845.041500002,19448.11958876293,-74873.54857288912,-172055.97807981752,0.0,24698.276033200003,1056176.5857912193,203893.22044104183,254187.34357395704,No,No,82131.36549413952,0.0,67667655.7399666,67863560.91719499,dairy ,44.090455600000006,-91.3594705,n14,14,MULTIFORM
14,"E4361 County Road G, Kewaunee, WI 54216",1972,0.0,27264330.686,17174.96275371272,-72643.7943964548,-157362.97053999454,0.0,21811.464548800002,1053430.7707055672,179731.19600771417,229894.5660413126,No,No,72531.59550131805,0.0,59758449.224905506,59931299.8586917,dairy ,44.3693359,-87.549178,n15,15,MULTIFORM
15,"N7232 Hill Creek Road, Sheldon, WI 54766",1246,0.0,17226853.972999997,10851.928798745459,-67028.47225870444,-118055.715575742,0.0,13781.4831784,1053430.7707055672,113721.13255768223,163884.50259128067,No,No,45828.78701553867,0.0,37758127.654276,37866849.5580273,dairy ,45.2938422,-90.9225381999999,n16,16,MULTIFORM
16,"4304 N 5th Road, Pound, WI 54161",9943,0.0,137469188.6465,86597.69506093588,-170530.08287806655,60323.14564475362,0.0,109975.3509172,3762101.1773736575,126239.95716797827,305387.6322810096,Yes,No,365710.7779257632,0.0,301307434.403264,302184376.09367204,dairy ,45.079823,-87.97310300000001,n17,17,CRYSTALACTOR
17,"W861 Cty Rd A, Dorchester, WI 54425",3028,0.0,41864296.813999996,26372.103051846912,-115036.1637940075,-244860.95129431278,0.0,33491.4374512,1681176.5857912193,276176.967607399,356232.99550221895,No,No,111372.04420790615,0.0,91758916.964003,92025045.7505672,dairy ,44.99590560000001,-90.32809519999991,n18,18,MULTIFORM
18,"W2031 CTH K, Unity, WI 54488",4440,0.0,61386221.220000006,38669.79443533695,-125957.42392968728,-321309.77224407124,0.0,49108.976976000005,1681176.5857912193,404560.1764110424,484616.20430586237,No,No,163306.43206179113,0.0,134547421.175751,134938274.159022,dairy ,44.851343,-90.3215731999999,n19,19,MULTIFORM
19,"15724 Hillcreek Rd, Valders, WI 54245",1280,0.0,17696928.64,11148.048846223266,-67291.44877755224,-119896.55120767672,0.0,14157.542912,1053430.7707055672,116812.51293963967,166975.88297323813,No,No,47079.3317655614,0.0,38788445.7443606,38900170.92197029,dairy ,44.0371681,-87.8945312,n20,20,MULTIFORM
