,"Crude oil, average","Crude oil, Brent","Crude oil, Dubai","Crude oil, WTI","Coal, Australian","Coal, South Afican","Natural gas, US","Natural gas, Europe","Liquefied natural gas, Japan",Natural gas index,Cocoa,"Coffee, Arabica","Coffee, Robusta","Tea, avg 3 auctions","Tea, Colombo","Tea, Kolkata","Tea, Mombasa",Coconut oil,Groundnuts,Fish meal,Groundnut oil,Palm oil,Palm kernel oil,Soybeans,Soybean oil,Soybean meal,Barley,Maize,Sorghum,"Rice, Thai 5% ","Rice, Thai 25% ","Rice, Thai A.1","Rice, Viet Namese 5%","Wheat, US SRW","Wheat, US HRW","Banana, Europe","Banana, US",Orange,Beef,"Meat, chicken","Meat, sheep","Shrimps, Mexican","Sugar, EU","Sugar, US","Sugar, world","Tobacco, US import u.v.","Logs, Cameroon","Logs, Malaysian","Sawnwood, Cameroon","Sawnwood, Malaysian",Plywood,"Cotton, A Index","Rubber, TSR20","Rubber, SGP/MYS",Phosphate rock,DAP,TSP,Urea ,Potassium chloride,Aluminum,"Iron ore, cfr spot",Copper,Lead,Tin,Nickel,Zinc,Gold,Platinum,Silver,MUV Index
,($/bbl),($/bbl),($/bbl),($/bbl),($/mt),($/mt),($/mmbtu),($/mmbtu),($/mmbtu),(2010=100),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/kg),($/mt),($/cubic meter),($/cubic meter),($/cubic meter),($/cubic meter),(¢/sheet),($/kg),($/kg),($/kg),($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/dmtu),($/mt),($/mt),($/mt),($/mt),($/mt),($/troy oz),($/troy oz),($/troy oz),(2010=100)
1960,8.51,..,8.51,..,..,..,0.73,2.11,..,18.93,3.08,4.82,3.64,5.38,4.86,5.86,5.42,1631.60,..,..,1708.22,1172.33,..,479.73,1169.72,423.18,105.28,232.46,191.06,560.78,..,..,..,..,302.95,..,0.75,0.68,3.85,1.57,..,8.39,0.64,0.66,0.35,9073.26,..,166.85,..,779.28,..,3.42,..,4.08,67.91,0.00,276.87,220.71,148.88,2671.88,59.66,3545.76,1038.78,11475.54,8520.20,1286.08,184.25,436.20,4.77,19.14
1961,8.05,..,8.05,..,..,..,0.77,2.07,..,19.19,2.45,4.59,3.43,4.88,4.57,5.01,5.04,1298.56,..,..,1692.27,1170.46,..,560.25,1472.36,496.58,106.32,230.37,212.23,609.53,..,..,..,..,300.31,..,0.69,0.68,3.49,1.60,..,8.68,0.64,0.64,0.30,8010.13,..,169.41,..,778.76,..,3.44,..,3.08,66.61,0.00,266.46,216.50,153.73,2620.89,56.47,3244.06,906.86,12553.78,8767.54,1098.16,180.63,427.87,4.74,19.52
1962,7.65,..,7.65,..,..,..,0.80,2.04,..,19.45,2.30,4.19,3.43,4.89,4.33,5.56,4.80,1263.71,..,..,1380.03,1087.74,..,505.75,1141.89,447.74,114.20,244.74,224.86,678.72,..,..,..,..,323.62,..,0.66,0.54,3.59,1.61,..,11.33,0.64,0.65,0.31,7067.14,..,183.05,..,805.16,..,3.27,..,2.84,57.85,0.00,256.55,212.53,150.91,2505.42,55.38,3245.30,781.13,12431.93,8858.45,935.27,177.22,420.03,5.45,19.88
1963,7.69,..,7.69,..,..,..,0.82,2.01,..,19.49,2.83,4.13,3.19,4.88,4.18,5.55,4.92,1467.23,..,..,1375.87,1139.59,..,564.14,1145.69,466.39,122.87,275.53,245.14,643.93,..,..,..,..,330.44,..,0.74,0.48,3.41,1.68,..,10.23,0.65,0.85,0.94,6884.95,..,181.84,..,808.85,..,3.31,..,2.67,58.93,0.00,266.46,216.50,153.73,2555.94,56.47,3309.99,895.76,12850.18,8924.68,1083.82,179.81,414.71,6.55,19.52
1964,7.33,..,7.33,..,..,..,0.76,1.94,..,18.43,2.56,5.10,3.98,4.68,4.14,5.25,4.66,1498.24,..,..,1593.75,1210.07,..,558.44,1177.46,449.80,127.06,276.08,243.76,607.16,..,..,..,..,341.25,..,0.86,0.42,4.25,1.71,..,9.16,0.64,0.70,0.64,7521.12,..,152.89,..,731.92,..,3.29,..,2.48,63.17,0.00,267.84,305.74,164.24,2658.07,51.75,4900.64,1404.28,17246.28,8801.51,1649.92,177.38,447.14,6.53,19.79
1965,7.11,..,7.11,..,..,..,0.80,2.06,..,19.50,1.83,5.01,3.39,5.01,4.24,5.72,5.07,1752.54,..,..,1621.32,1364.07,..,584.97,1351.44,485.64,121.85,278.66,239.91,594.58,..,..,..,..,297.63,..,0.80,0.48,4.41,1.75,..,9.95,0.62,0.68,0.22,6333.82,..,175.31,..,784.58,..,3.19,..,2.53,70.07,0.00,270.29,329.10,147.66,2703.55,53.37,6471.13,1587.57,19474.72,8684.28,1557.91,175.79,490.73,6.47,19.98
1966,6.57,..,6.57,..,..,..,0.77,2.05,..,19.13,2.50,4.48,3.57,4.22,3.67,4.58,4.41,1562.66,..,..,1430.37,1137.52,..,606.62,1262.36,516.70,125.09,281.42,234.49,700.95,..,..,..,..,303.90,..,0.74,0.41,4.94,1.76,..,11.17,0.63,0.68,0.19,7633.14,..,177.77,..,777.64,..,3.01,..,2.28,62.76,0.00,241.37,286.02,132.75,2607.42,45.96,7393.18,1258.25,17250.65,8394.80,1357.01,169.59,481.39,6.24,20.72
1967,6.36,..,6.36,..,..,..,0.77,2.19,..,19.69,2.86,4.14,3.54,4.00,3.44,3.82,4.74,1561.73,..,..,1354.02,1069.28,..,548.99,1037.61,473.23,125.62,258.90,248.35,906.21,..,..,..,..,314.44,..,0.76,0.76,4.98,1.78,..,10.97,0.62,0.70,0.20,6218.18,..,188.20,..,798.60,..,3.24,..,1.87,57.42,327.79,215.34,235.68,122.03,2584.70,42.40,5430.24,1089.50,15829.93,9262.93,1307.98,167.25,527.57,7.41,20.90
1968,6.37,..,6.37,..,..,..,0.77,2.18,..,19.75,3.48,4.19,3.60,3.61,3.27,3.54,4.03,1927.41,..,..,1306.93,815.01,..,534.88,859.67,465.44,121.48,231.54,253.76,882.99,..,..,..,..,303.02,..,0.74,0.81,5.24,1.85,..,12.45,0.54,0.74,0.20,5814.42,..,193.33,..,813.58,..,3.30,..,1.84,55.51,292.06,181.03,171.37,115.86,2669.50,42.34,5995.37,1160.94,15094.63,10014.38,1269.08,187.91,565.81,10.35,20.72
