ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Crystalactor EUR/year,Ostara Pearl kgPrec/year,Ostara Pearl EUR/kgPrec,Ostara Pearl EUR/year,P RoC kgPrec/year,P RoC EUR/kgPrec,P RoC EUR/year,REMNUT kgPrec/year,REMNUT EUR/kgPrec,REMNUT EUR/year,AirPrex kgPrec/year,AirPrex EUR/kgPrec,AirPrex EUR/year,PRISA kgPrec/year,PRISA EUR/kgPrec,PRISA EUR/year
375,Stelco Inc.,Lake Erie,Haldimand County,ON,42.794,-80.109,operational,3528.0,Haldimand-Norfolk,162.31300000000002,164.763,135.975,125.563,161.70000000000002,202.125,187.645,thousand m3,84.93362562552817,32.2747777377007,187.30011494069916,6045.06957995686,16.986725125105632,702.7957512482677,11938.198245546437,22.932078918892607,18.50034588086088,424.2513917667115,39.918804043998236,47.20141481324558,1884.2240285294258,12.740043843829225,465.13513730411546,5925.842042559958,15.288052612595068,700.2638712367452,10705.670906166859
503,Regional Municipality of Durham,Duffin Creek WPCP,Pickering,ON,43.8156,-79.0484,operational,3518.0,Durham,125615.302,125187.393,116781.059,116277.13,121734.342,125252.937,124847.107,thousand m3,56509.45906561995,21473.59444493558,13.034399697266453,279895.4129322909,11301.891813123992,10.966866982592668,123946.34416618389,15257.553947717388,4.427012222058877,67545.37780526753,26559.445760841376,31.957480100507887,848772.9593826068,8476.418859842992,8.265962422892455,70065.75977615909,10171.702631811591,17.223764272536194,175195.00838065887
1412,Bruce Power LP,Bruce Power,Tiverton,ON,44.3233,-81.5875,operational,3541.0,Bruce,376.6781,411.127,411.6526,389.8714,391.904,353.07450000000006,340.755,thousand m3,154.23569826015535,58.609565338859035,146.6577086272434,8595.544556235773,30.84713965203107,479.7354076251559,14798.465115037236,41.643638530241944,16.224700740397246,675.6555728944518,72.490778182273,45.541643773975,3301.349196875316,23.135354739023303,321.3171448184736,7433.78612910551,27.76242568682796,498.3927697174339,13836.59223213262
1436,The Corporation of the City of Barrie,Water Pollution Control Centre,Barrie,ON,44.3776,-79.692,operational,3543.0,Simcoe,18676.695,18465.94,17527.87,17707.779,18509.843,18110.898,18197.07,thousand m3,8236.527116957712,3129.8803044439305,28.70817676012817,89853.15701802012,1647.3054233915425,37.615242596445505,61963.79313131324,2223.8623215785824,6.76259944959416,15039.090111880512,3871.167744970124,35.871963433405185,138866.3877921459,1235.4790675436568,27.2801766029434,33704.0871518308,1482.574881052388,51.625345715525505,76538.44078348363
7059,City of Sarnia,Water Pollution Control Centre,Sarnia,ON,42.9528,-82.4065,operational,3538.0,Lambton,8504.6068,7976.2739,8365.631,9427.261,10084.169,10682.976,11979.806,thousand m3,5422.411243947113,2060.516272699903,34.075465752420754,70213.0516826912,1084.4822487894226,49.153782410736525,53306.40448530151,1464.0510358657205,7.414041873517391,10854.535684874963,2548.533284655143,36.783093325961296,93742.9376537888,813.3616865920669,35.35161178880866,28753.64658829341,976.0340239104803,65.51600854577644,63945.853451487594
7391,DEPARTMENT OF NATIONAL DEFENCE,4th Canadian Division Training Centre,Meaford,ON,44.6653,-80.6754,operational,3542.0,Grey,103.055,96.526,93.426,113.827,113.865,112.505,106.914,thousand m3,48.392409337460194,18.389115548234873,235.8859291115365,4337.733606634785,9.678481867492039,1007.3552985608575,9749.669991243289,13.065950521114253,20.93757500046784,273.56931898823154,22.74443238860629,48.821729647494735,1110.4225290622592,7.258861400619029,659.2447011481355,4785.365914726828,8.710633680742834,964.9706379258225,8405.505739644568
7890,The Corporation of the City of Belleville,Belleville Wastewater Treatment Facility,Belleville,ON,44.1572,-77.3725,operational,3512.0,Hastings,9264.721,10250.0387,8143.523,7614.18,12558.3369,11844.732,12071.088,thousand m3,5463.728152014737,2076.2166977656,33.969580365733094,70528.20997142553,1092.7456304029474,48.915567783312625,53452.27295389406,1475.2066010439792,7.401670977965695,10918.993885450638,2567.9522314469264,36.76634441368374,94414.2161792654,819.5592228022106,35.18562812072727,28836.70603643085,983.4710673626527,65.23315014004586,64154.91579565908
8469,Canadian Nuclear Laboratories,Chalk River Laboratories,Chalk River,ON,46.0524,-77.3618,operational,3547.0,Renfrew,207.058,208.807,210.019,205.702,227.476,210.652,166.038,thousand m3,75.15366426822695,28.55839242192624,196.9341986552558,5624.124126494374,15.03073285364539,760.0322299008926,11423.841407800712,20.291489352421276,19.005020338835894,385.64016784803835,35.32222220606666,47.54915314826976,1679.5417532134786,11.273049640234042,501.7870399606904,5656.670210302966,13.52765956828085,750.8367776225228,10157.064319022482
8493,The Corporation of the Town of Kirkland Lake,Kirkland Lake Wastewater Treatment Plant,Kirkland Lake,ON,48.1372,-80.0363,operational,3554.0,Timiskaming,2981.938,3228.647,3246.835,2629.072,3309.3116,3332.083,4116.549,thousand m3,1863.2707060414202,708.0428682957397,52.801658498601114,37385.837734121655,372.65414120828405,97.3785940773985,36288.536347983034,503.0830906311835,9.3781389612431,4717.983132990895,875.7372318394674,39.21780102858455,34344.48851160365,279.49060590621303,68.5547334963117,19160.404002623116,335.3887270874556,120.44251998607994,40395.06346533678
8983,City of Thunder Bay,Water Pollution Control Plant,Thunder Bay,ON,48.3964,-89.2259,operational,3558.0,Thunder Bay,29879.089,85751.5,29331.59,31344.5,30286.1863,25684.939,26317.148,thousand m3,11911.912365176888,4526.526698767218,24.677905405038153,111705.19768555702,2382.3824730353776,29.703796341084594,70765.80378561231,3216.21633859776,6.235358759836537,20054.26272040494,5598.598811633137,35.08656938129426,196435.62564239767,1786.7868547765331,21.702012838646763,38776.87126228559,2144.14422573184,41.83383502807958,89697.77581567521
