,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
0,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
1,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
2,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
3,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
4,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
5,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
6,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
7,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
8,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
9,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
10,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
11,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
12,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
13,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
14,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
15,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
16,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
17,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
18,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
19,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
20,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
21,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
22,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
23,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
24,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
25,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
26,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
27,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
28,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
29,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
30,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
31,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
32,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
33,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
34,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
35,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
36,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
37,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
38,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
39,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
40,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
41,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
42,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
43,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
44,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
45,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
46,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
47,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
48,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
49,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
50,944.689698645736,AshDec depollution,566.8138191874416,60.0,10.7,6064.907865305626,RecoPhos,576.2607161738989,61.0,11.4,6569.372164382447
