,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
0,18225.64098002016,AshDec depollution,10935.384588012095,59.999999999999986,10.7,117008.61509172944,RecoPhos,11117.6409978123,61.0,11.4,126741.1073750602
1,42010.03078847485,AshDec depollution,25206.01847308491,60.00000000000001,10.7,269704.3976620086,RecoPhos,25626.11878096966,61.00000000000001,11.4,292137.7541030541
2,12559.63154067994,AshDec depollution,7535.778924407963,59.999999999999986,10.7,80632.83449116521,RecoPhos,7661.375239814763,60.999999999999986,11.4,87339.6777338883
3,10592.39081391826,AshDec depollution,6355.434488350956,60.0,10.7,68003.14902535523,RecoPhos,6461.358396490139,61.0,11.4,73659.48571998758
4,29414.05328397083,AshDec depollution,17648.431970382495,60.0,10.7,188838.22208309275,RecoPhos,17942.572503222204,61.0,11.4,204545.32653673316
5,35114.93765879667,AshDec depollution,21068.962595278,60.0,10.7,225437.89976947464,RecoPhos,21420.11197186597,61.0,11.4,244189.27647927208
6,27979.88068999767,AshDec depollution,16787.9284139986,60.0,10.7,179630.83402978504,RecoPhos,17067.727220898578,61.0,11.4,194572.0903182438
7,32268.857162596985,AshDec depollution,19361.31429755819,60.0,10.7,207166.06298387263,RecoPhos,19684.00286918416,61.0,11.4,224397.63270869944
8,14216.38256574043,AshDec depollution,8529.829539444258,60.0,10.7,91269.17607205355,RecoPhos,8671.993365101662,61.0,11.4,98860.72436215894
9,22623.651747404176,AshDec depollution,13574.191048442504,60.0,10.7,145243.84421833482,RecoPhos,13800.427565916549,61.00000000000001,11.4,157324.87425144864
10,12611.785134228468,AshDec depollution,7567.07108053708,59.999999999999986,10.7,80967.66056174676,RecoPhos,7693.188931879365,60.999999999999986,11.4,87702.35382342475
11,38092.97338538227,AshDec depollution,22855.78403122936,60.0,10.7,244556.88913415416,RecoPhos,23236.713765083183,61.0,11.4,264898.5369219483
12,16589.43299041334,AshDec depollution,9953.659794248004,60.0,10.7,106504.15979845363,RecoPhos,10119.55412415214,61.00000000000001,11.4,115362.9170153344
13,15408.763529960375,AshDec depollution,9245.258117976226,60.0,10.7,98924.26186234562,RecoPhos,9399.34575327583,61.0,11.4,107152.54158734446
14,20232.131021491045,AshDec depollution,12139.278612894626,60.0,10.7,129890.28115797252,RecoPhos,12341.599923109536,60.999999999999986,11.4,140694.23912344873
15,4871.894424380189,AshDec depollution,2923.1366546281133,60.0,10.7,31277.56220452081,RecoPhos,2971.855598871915,61.0,11.4,33879.15382713983
16,17879.810851738286,AshDec depollution,10727.88651104297,60.0,10.7,114788.3856681598,RecoPhos,10906.684619560354,61.0,11.4,124336.20466298804
17,17281.76409417455,AshDec depollution,10369.058456504728,60.0,10.7,110948.9254846006,RecoPhos,10541.876097446477,61.00000000000001,11.4,120177.38751088982
18,24680.370208720524,AshDec depollution,14808.222125232314,60.0,10.7,158447.97673998578,RecoPhos,15055.02582731952,61.0,11.4,171627.29443144254
19,37167.7730599409,AshDec depollution,22300.663835964537,60.0,10.7,238617.10304482057,RecoPhos,22672.341566563948,61.0,11.4,258464.693858829
20,26357.78625044413,AshDec depollution,15814.671750266476,60.0,10.7,169216.98772785132,RecoPhos,16078.249612770918,61.0,11.4,183292.0455855885
21,11414.690755824737,AshDec depollution,6848.814453494841,59.999999999999986,10.7,73282.3146523948,RecoPhos,6962.961361053088,60.999999999999986,11.4,79377.7595160052
22,21337.16867193294,AshDec depollution,12802.301203159765,60.0,10.7,136984.6228738095,RecoPhos,13015.672889879092,60.999999999999986,11.4,148378.67094462167
23,5660.803720384911,AshDec depollution,3396.4822322309465,60.0,10.7,36342.35988487113,RecoPhos,3453.090269434796,61.00000000000001,11.4,39365.22907155667
24,19182.25061033466,AshDec depollution,11509.350366200795,60.0,10.7,123150.04891834852,RecoPhos,11701.172872304143,61.0,11.4,133393.37074426725
25,16014.015510304744,AshDec depollution,9608.409306182846,60.0,10.7,102809.97957615646,RecoPhos,9768.549461285893,61.0,11.4,111361.46385865918
26,18932.397661038827,AshDec depollution,11359.438596623297,60.0,10.7,121545.99298386928,RecoPhos,11548.762573233684,61.0,11.4,131655.893334864
27,34006.207122723376,AshDec depollution,20403.724273634023,60.0,10.7,218319.84972788408,RecoPhos,20743.78634486126,61.0,11.4,236479.16433141835
28,12357.881249236802,AshDec depollution,7414.728749542081,60.0,10.7,79337.59762010026,RecoPhos,7538.307562034449,61.0,11.4,85936.70620719272
29,13491.83808096803,AshDec depollution,8095.102848580817,60.0,10.7,86617.60047981475,RecoPhos,8230.021229390497,61.0,11.4,93822.24201505168
30,32363.867472469563,AshDec depollution,19418.320483481737,60.0,10.7,207776.02917325465,RecoPhos,19741.95915820643,61.0,11.4,225058.3344035533
31,12782.946687786984,AshDec depollution,7669.768012672191,60.00000000000001,10.7,82066.51773559245,RecoPhos,7797.597479550061,61.00000000000001,11.4,88892.61126687069
32,4802.82354753951,AshDec depollution,2881.6941285237062,60.0,10.7,30834.12717520366,RecoPhos,2929.722363999101,61.0,11.4,33398.83494958976
33,12167.786579477004,AshDec depollution,7300.671947686203,60.0,10.7,78117.18984024238,RecoPhos,7422.349813480972,61.0,11.4,84614.78787368309
34,11867.867596090282,AshDec depollution,7120.720557654169,60.0,10.7,76191.70996689962,RecoPhos,7239.399233615072,61.0,11.4,82529.15126321182
35,7273.876756167174,AshDec depollution,4364.326053700304,60.0,10.7,46698.28877459326,RecoPhos,4437.064821261976,61.0,11.4,50582.53896238653
36,8269.833387622839,AshDec depollution,4961.900032573703,60.0,10.7,53092.33034853863,RecoPhos,5044.598366449932,61.0,11.4,57508.42137752922
37,28454.22834421834,AshDec depollution,17072.537006531,60.0,10.7,182676.14596988173,RecoPhos,17357.079289973186,61.0,11.4,197870.70390569436
38,11830.547768598555,AshDec depollution,7098.328661159133,60.0,10.7,75952.11667440273,RecoPhos,7216.634138845118,61.0,11.4,82269.62918283435
39,23317.167733959686,AshDec depollution,13990.300640375812,60.0,10.7,149696.2168520212,RecoPhos,14223.472317715408,61.0,11.4,162147.58442195566
40,17575.00256518338,AshDec depollution,10545.001539110026,60.0,10.7,112831.51646847728,RecoPhos,10720.75156476186,61.0,11.4,122216.5678382852
41,10058.036994311971,AshDec depollution,6034.822196587184,60.00000000000002,10.7,64572.59750348287,RecoPhos,6135.402566530303,61.00000000000001,11.4,69943.58925844546
42,40702.21177404883,AshDec depollution,24421.327064429297,60.0,10.7,261308.1995893935,RecoPhos,24828.349182169783,60.999999999999986,11.4,283043.1806767356
43,3979.250572622093,AshDec depollution,2387.550343573256,60.00000000000001,10.7,25546.78867623384,RecoPhos,2427.3428492994767,61.0,11.4,27671.70848201404
44,10217.230493038966,AshDec depollution,6130.338295823379,60.0,10.7,65594.61976531016,RecoPhos,6232.510600753769,61.0,11.4,71050.62084859297
45,17820.98938011712,AshDec depollution,10692.593628070272,60.0,10.7,114410.75182035191,RecoPhos,10870.803521871445,61.00000000000001,11.4,123927.16014933444
46,9394.136107161628,AshDec depollution,5636.481664296975,59.999999999999986,10.7,60310.35380797764,RecoPhos,5730.423025368592,60.999999999999986,11.4,65326.82248920195
47,32738.349283449337,AshDec depollution,19643.0095700696,60.0,10.7,210180.20239974477,RecoPhos,19970.39306290409,60.999999999999986,11.4,227662.4809171067
48,26881.954502821893,AshDec depollution,16129.172701693136,60.0,10.7,172582.14790811657,RecoPhos,16397.992246721355,61.0,11.4,186937.11161262344
49,18162.4931638954,AshDec depollution,10897.495898337238,59.999999999999986,10.7,116603.20611220846,RecoPhos,11079.120829976193,60.999999999999986,11.4,126301.9774617286
50,21110.57891866516,AshDec depollution,12666.347351199094,59.999999999999986,10.7,135529.91665783033,RecoPhos,12877.453140385744,60.99999999999998,11.4,146802.9658003975
51,13499.069204364365,AshDec depollution,8099.4415226186175,59.999999999999986,10.7,86664.02429201921,RecoPhos,8234.432214662262,61.0,11.4,93872.5272471498
52,19469.15628940157,AshDec depollution,11681.49377364094,59.999999999999986,10.7,124991.98337795808,RecoPhos,11876.185336534958,61.0,11.4,135388.51283649853
53,11009.636030649826,AshDec depollution,6605.781618389896,60.0,10.7,70681.8633167719,RecoPhos,6715.877978696394,61.0,11.4,76561.0089571389
54,18850.929027210837,AshDec depollution,11310.5574163265,59.999999999999986,10.7,121022.96435469355,RecoPhos,11499.066706598607,60.99999999999998,11.4,131089.36045522414
55,33960.062510671814,AshDec depollution,20376.03750640309,60.0,10.7,218023.60131851307,RecoPhos,20715.638131509808,61.0,11.4,236158.27469921185
56,24951.7049211208,AshDec depollution,14971.022952672476,59.999999999999986,10.7,160189.9455935955,RecoPhos,15220.540001883684,60.999999999999986,11.4,173514.15602147402
57,6501.028582669223,AshDec depollution,3900.617149601534,60.0,10.7,41736.60350073642,RecoPhos,3965.6274354282255,60.999999999999986,11.4,45208.15276388178
58,33463.52318971106,AshDec depollution,20078.113913826637,60.00000000000001,10.7,214835.818877945,RecoPhos,20412.749145723745,61.0,11.4,232705.3402612507
59,23459.15238710941,AshDec depollution,14075.491432265648,60.00000000000001,10.7,150607.75832524244,RecoPhos,14310.082956136745,61.00000000000002,11.4,163134.94569995886
60,36409.85440066421,AshDec depollution,21845.91264039852,59.999999999999986,10.7,233751.2652522642,RecoPhos,22210.011184405164,60.999999999999986,11.4,253194.12750221888
61,3074.098321780814,AshDec depollution,1844.4589930684883,60.0,10.7,19735.711225832827,RecoPhos,1875.1999762862963,61.0,11.4,21377.27972966378
62,12152.675012127893,AshDec depollution,7291.605007276736,60.0,10.7,78020.17357786107,RecoPhos,7413.131757398014,61.0,11.4,84509.70203433736
63,18431.456106252583,AshDec depollution,11058.873663751552,60.00000000000001,10.7,118329.94820214162,RecoPhos,11243.188224814076,61.0,11.4,128172.34576288048
64,3400.721103854379,AshDec depollution,2040.4326623126276,60.0,10.7,21832.629486745114,RecoPhos,2074.439873351171,61.0,11.4,23648.614556203356
65,20845.530172990497,AshDec depollution,12507.318103794298,60.0,10.7,133828.303710599,RecoPhos,12715.773405524204,61.0,11.4,144959.81682297593
66,26179.60675405717,AshDec depollution,15707.764052434304,60.00000000000001,10.7,168073.0753610471,RecoPhos,15969.560119974876,61.00000000000001,11.4,182052.9853677136
67,6918.811563319403,AshDec depollution,4151.286937991642,60.0,10.7,44418.77023651057,RecoPhos,4220.475053624836,61.0,11.4,48113.41561132313
68,25309.401176151358,AshDec depollution,15185.640705690812,59.999999999999986,10.7,162486.3555508917,RecoPhos,15438.734717452326,60.999999999999986,11.4,176001.57577895653
69,11612.394439549404,AshDec depollution,6967.436663729642,60.0,10.7,74551.57230190717,RecoPhos,7083.560608125136,61.0,11.4,80752.59093262655
70,8996.094790603232,AshDec depollution,5397.656874361939,60.0,10.7,57754.92855567276,RecoPhos,5487.617822267972,61.0,11.4,62558.84317385488
71,30561.980298136696,AshDec depollution,18337.188178882017,60.0,10.7,196207.9135140376,RecoPhos,18642.807981863385,61.0,11.4,212528.01099324255
72,21421.995506803625,AshDec depollution,12853.197304082174,60.0,10.7,137529.2111536793,RecoPhos,13067.417259150212,61.0,11.4,148968.55675431242
73,37665.34311687822,AshDec depollution,22599.20587012693,60.0,10.7,241811.5028103582,RecoPhos,22975.859301295717,61.00000000000001,11.4,261924.79603477116
74,47018.9115863658,AshDec depollution,28211.34695181948,60.0,10.7,301861.4123844685,RecoPhos,28681.536067683137,61.0,11.4,326969.51117158774
75,19569.28831422168,AshDec depollution,11741.572988533006,59.999999999999986,10.7,125634.83097730318,RecoPhos,11937.265871675225,61.0,11.4,136084.83093709755
76,9124.34284753161,AshDec depollution,5474.605708518966,60.0,10.7,58578.28108115294,RecoPhos,5565.849136994282,61.0,11.4,63450.68016173482
77,21709.61306945759,AshDec depollution,13025.767841674557,60.00000000000001,10.7,139375.71590591775,RecoPhos,13242.86397236913,61.0,11.4,150968.64928500808
78,5759.629563699187,AshDec depollution,3455.777738219512,59.999999999999986,10.7,36976.82179894878,RecoPhos,3513.374033856504,61.0,11.4,40052.46398596415
79,15116.127158790325,AshDec depollution,9069.676295274194,60.0,10.7,97045.53635943389,RecoPhos,9220.837566862096,60.999999999999986,11.4,105117.54826222792
80,23847.070943304054,AshDec depollution,14308.242565982431,60.0,10.7,153098.19545601204,RecoPhos,14546.713275415472,61.0,11.4,165832.5313397364
81,5849.71205841852,AshDec depollution,3509.827235051112,60.0,10.7,37555.1514150469,RecoPhos,3568.3243556352973,61.0,11.4,40678.89765424239
82,10717.113573571658,AshDec depollution,6430.268144142995,60.0,10.7,68803.86914233005,RecoPhos,6537.439279878711,61.0,11.4,74526.80779061731
83,23754.684671960167,AshDec depollution,14252.8108031761,60.0,10.7,152505.07559398428,RecoPhos,14490.3576498957,61.0,11.4,165190.077208811
84,5200.661813642083,AshDec depollution,3120.3970881852497,60.0,10.7,33388.24884358217,RecoPhos,3172.4037063216706,61.0,11.4,36165.40225206705
