,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
0,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
1,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
2,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
3,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
4,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
5,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
6,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
7,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
8,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
9,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
10,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
11,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
12,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
13,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
14,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
15,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
16,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
17,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
18,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
19,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
20,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
21,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
22,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
23,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
24,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
25,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
26,944.689698645736,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083,MAPHEX,170.04414575623247,18.0,326.2378031734007,55474.82855401083
