,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
0,7842.822175514696,AshDec depollution,4705.693305308818,60.0,10.7,50350.91836680436,RecoPhos,4784.121527063964,61.0,11.4,54538.9854085292
1,17424.074137048483,AshDec depollution,10454.44448222909,60.0,10.7,111862.55595985128,RecoPhos,10628.685223599574,61.0,11.4,121167.01154903516
2,10717.83328523848,AshDec depollution,6430.699971143087,60.0,10.7,68808.48969123104,RecoPhos,6537.878303995472,61.0,11.4,74531.8126655484
3,17801.51837021974,AshDec depollution,10680.911022131842,60.0,10.7,114285.74793681072,RecoPhos,10858.92620583404,60.999999999999986,11.4,123791.75874650809
4,11531.923635500736,AshDec depollution,6919.154181300441,60.0,10.7,74034.94973991474,RecoPhos,7034.473417655448,61.0,11.4,80192.99696127212
5,20880.450321574128,AshDec depollution,12528.270192944476,60.0,10.7,134052.4910645059,RecoPhos,12737.074696160218,61.0,11.4,145202.65153622648
6,11185.966145718518,AshDec depollution,6711.57968743111,60.0,10.7,71813.90265551288,RecoPhos,6823.439348888295,61.0,11.4,77787.20857732657
7,12056.436163320835,AshDec depollution,7233.861697992502,60.00000000000001,10.7,77402.32016851977,RecoPhos,7354.426059625711,61.00000000000001,11.4,83840.45707973311
8,9724.772192489749,AshDec depollution,5834.863315493849,60.0,10.7,62433.037475784186,RecoPhos,5932.1110374187465,61.0,11.4,67626.06582657371
9,13758.018962865865,AshDec depollution,8254.811377719518,59.999999999999986,10.7,88326.48174159885,RecoPhos,8392.391567348175,60.999999999999986,11.4,95673.2638677692
10,17327.813335170173,AshDec depollution,10396.688001102104,60.0,10.7,111244.56161179252,RecoPhos,10569.966134453804,60.999999999999986,11.4,120497.61393277338
11,17994.705105809295,AshDec depollution,10796.823063485575,59.999999999999986,10.7,115526.00677929568,RecoPhos,10976.77011454367,61.0,11.4,125135.17930579784
12,21654.66168873533,AshDec depollution,12992.797013241196,59.999999999999986,10.7,139022.92804168083,RecoPhos,13209.343630128553,61.00000000000001,11.4,150586.51738346549
13,9576.326109744905,AshDec depollution,5745.795665846942,59.999999999999986,10.7,61480.013624562285,RecoPhos,5841.558926944391,60.999999999999986,11.4,66593.77176716605
14,6908.76635569513,AshDec depollution,4145.259813417078,59.999999999999986,10.7,44354.28000356274,RecoPhos,4214.34747697403,61.0,11.4,48043.56123750394
15,22405.865023663988,AshDec depollution,13443.519014198391,60.0,10.7,143845.65345192282,RecoPhos,13667.577664435032,61.0,11.4,155810.38537455938
16,10175.277856240604,AshDec depollution,6105.166713744362,60.0,10.7,65325.28383706468,RecoPhos,6206.919492306768,61.0,11.4,70758.88221229716
17,12257.920393327668,AshDec depollution,7354.752235996601,60.0,10.7,78695.84892516363,RecoPhos,7477.331439929877,61.0,11.4,85241.5784152006
18,15063.74926751516,AshDec depollution,9038.249560509095,60.0,10.7,96709.27029744734,RecoPhos,9188.887053184246,60.999999999999986,11.4,104753.3124063004
19,7215.205455012625,AshDec depollution,4329.123273007574,60.0,10.7,46321.61902118105,RecoPhos,4401.2753275577015,61.00000000000001,11.4,50174.5387341578
20,15356.826377598436,AshDec depollution,9214.095826559062,60.0,10.7,98590.82534418195,RecoPhos,9367.664090335044,60.999999999999986,11.4,106791.37062981952
21,17741.73807461523,AshDec depollution,10645.042844769136,59.999999999999986,10.7,113901.95843902978,RecoPhos,10822.46022551529,61.0,11.4,123376.0465708743
22,18067.634942822853,AshDec depollution,10840.58096569371,60.0,10.7,115994.21633292272,RecoPhos,11021.25731512194,61.0,11.4,125642.33339239012
23,14537.358884841216,AshDec depollution,8722.415330904729,60.0,10.7,93329.8440406806,RecoPhos,8867.788919753142,61.0,11.4,101092.79368518582
24,25972.295317308628,AshDec depollution,15583.377190385176,60.0,10.7,166742.1359371214,RecoPhos,15843.100143558262,61.0,11.4,180611.3416365642
25,12197.232772535068,AshDec depollution,7318.33966352104,60.0,10.7,78306.23439967514,RecoPhos,7440.311991246391,61.0,11.4,84819.55670020886
26,18895.217082036183,AshDec depollution,11337.13024922171,60.0,10.7,121307.2936666723,RecoPhos,11526.08242004207,61.0,11.4,131397.3395884796
27,13062.081156371476,AshDec depollution,7837.248693822885,60.0,10.7,83858.56102390488,RecoPhos,7967.8695053866,61.0,11.4,90833.71236140723
28,10859.467476890555,AshDec depollution,6515.680486134334,60.00000000000001,10.7,69717.78120163738,RecoPhos,6624.275160903239,61.00000000000001,11.4,75516.73683429693
29,8682.459834127774,AshDec depollution,5209.475900476665,60.0,10.7,55741.39213510032,RecoPhos,5296.300498817942,61.0,11.4,60377.82568652454
30,13267.42313956469,AshDec depollution,7960.453883738814,60.0,10.7,85176.85655600531,RecoPhos,8093.12811513446,61.0,11.4,92261.66051253284
31,7585.670579045816,AshDec depollution,4551.40234742749,60.0,10.7,48700.00511747415,RecoPhos,4627.259053217947,60.999999999999986,11.4,52750.7532066846
32,17745.946114964634,AshDec depollution,10647.56766897878,60.0,10.7,113928.97405807296,RecoPhos,10825.027130128428,61.00000000000001,11.4,123405.30928346408
33,22203.922015258013,AshDec depollution,13322.353209154808,60.0,10.7,142549.17933795645,RecoPhos,13544.392429307389,61.0,11.4,154406.0736941042
34,25772.92938876156,AshDec depollution,15463.757633256932,59.999999999999986,10.7,165462.2066758492,RecoPhos,15721.48692714455,60.999999999999986,11.4,179224.95096944788
35,20945.47902834244,AshDec depollution,12567.287417005462,59.999999999999986,10.7,134469.97536195847,RecoPhos,12776.742207288886,60.999999999999986,11.4,145654.8611630933
36,14796.101884653448,AshDec depollution,8877.661130792068,60.0,10.7,94990.97409947516,RecoPhos,9025.622149638602,61.0,11.4,102892.09250588006
37,9626.574666879553,AshDec depollution,5775.944800127732,60.00000000000001,10.7,61802.60936136673,RecoPhos,5872.210546796527,61.0,11.4,66943.2002334804
38,29651.50203748269,AshDec depollution,17790.901222489614,60.0,10.7,190362.6430806389,RecoPhos,18087.41624286444,61.0,11.4,206196.54516865464
39,5822.384588979948,AshDec depollution,3493.4307533879687,60.0,10.7,37379.70906125127,RecoPhos,3551.654599277768,61.0,11.4,40488.86243176655
40,14441.3229410617,AshDec depollution,8664.79376463702,60.0,10.7,92713.29328161612,RecoPhos,8809.206994047638,61.0,11.4,100424.95973214308
41,9381.01946198862,AshDec depollution,5628.611677193171,59.999999999999986,10.7,60226.14494596694,RecoPhos,5722.421871813057,60.999999999999986,11.4,65235.60933866885
42,26064.07979539048,AshDec depollution,15638.447877234285,59.999999999999986,10.7,167331.39228640686,RecoPhos,15899.08867518819,60.999999999999986,11.4,181249.61089714535
43,9054.36537723858,AshDec depollution,5432.619226343147,59.999999999999986,10.7,58129.02572187167,RecoPhos,5523.162880115533,60.999999999999986,11.4,62964.05683331708
44,21678.103605420405,AshDec depollution,13006.862163252244,60.00000000000001,10.7,139173.425146799,RecoPhos,13223.643199306449,61.00000000000001,11.4,150749.5324720935
45,14318.28884183167,AshDec depollution,8590.973305099002,60.0,10.7,91923.41436455931,RecoPhos,8734.15619351732,61.0,11.4,99569.38060609745
46,18020.95352630963,AshDec depollution,10812.572115785775,59.999999999999986,10.7,115694.52163890784,RecoPhos,10992.781651048874,61.0,11.4,125317.71082195715
47,6917.951216857032,AshDec depollution,4150.770730114219,60.0,10.7,44413.24681222215,RecoPhos,4219.950242282789,61.0,11.4,48107.4327620238
48,20695.79624102577,AshDec depollution,12417.477744615464,60.00000000000001,10.7,132867.01186738547,RecoPhos,12624.435707025725,61.00000000000002,11.4,143918.56706009325
49,16653.79239091774,AshDec depollution,9992.275434550644,60.0,10.7,106917.3471496919,RecoPhos,10158.813358459822,61.0,11.4,115810.47228644196
50,13242.339603497065,AshDec depollution,7945.403762098237,59.999999999999986,10.7,85015.82025445114,RecoPhos,8077.827158133208,60.999999999999986,11.4,92087.22960271858
51,16542.74553776936,AshDec depollution,9925.647322661614,60.0,10.7,106204.42635247928,RecoPhos,10091.074778039309,61.0,11.4,115038.25246964813
52,6649.817610067341,AshDec depollution,3989.890566040404,59.999999999999986,10.7,42691.829056632334,RecoPhos,4056.3887421410777,61.0,11.4,46242.83166040829
53,7950.527936235113,AshDec depollution,4770.316761741067,60.0,10.7,51042.38935062943,RecoPhos,4849.822041103419,61.0,11.4,55287.97126857898
54,18438.294782691795,AshDec depollution,11062.976869615077,60.0,10.7,118373.85250488132,RecoPhos,11247.359817441997,61.00000000000001,11.4,128219.90191883876
55,13168.423996171332,AshDec depollution,7901.054397702799,60.0,10.7,84541.28205541996,RecoPhos,8032.738637664513,61.0,11.4,91573.22046937545
56,13120.053515943486,AshDec depollution,7872.032109566091,60.0,10.7,84230.74357235718,RecoPhos,8003.232644725526,61.0,11.4,91236.852149871
57,18894.682590332388,AshDec depollution,11336.809554199432,60.0,10.7,121303.86222993392,RecoPhos,11525.756380102755,61.0,11.4,131393.62273317145
58,20243.63753330286,AshDec depollution,12146.182519981716,60.0,10.7,129964.15296380436,RecoPhos,12348.618895314745,61.0,11.4,140774.25540658808
59,27986.679015046622,AshDec depollution,16792.007409027974,60.0,10.7,179674.47927659933,RecoPhos,17071.87419917844,61.00000000000001,11.4,194619.36587063424
60,13980.92961030284,AshDec depollution,8388.557766181704,60.00000000000001,10.7,89757.56809814424,RecoPhos,8528.367062284733,61.00000000000001,11.4,97223.38451004596
61,26821.030671004737,AshDec depollution,16092.618402602842,60.0,10.7,172191.01690785043,RecoPhos,16360.82870931289,61.0,11.4,186513.44728616692
62,10891.539105533604,AshDec depollution,6534.923463320162,60.0,10.7,69923.68105752574,RecoPhos,6643.838854375498,61.0,11.4,75739.76293988067
63,19214.860656324767,AshDec depollution,11528.91639379486,60.0,10.7,123359.405413605,RecoPhos,11721.065000358109,61.00000000000001,11.4,133620.14100408243
64,15795.103292539618,AshDec depollution,9477.06197552377,60.0,10.7,101404.56313810436,RecoPhos,9635.013008449168,61.00000000000001,11.4,109839.1482963205
65,9292.86776243513,AshDec depollution,5575.720657461077,60.0,10.7,59660.21103483353,RecoPhos,5668.649335085429,61.0,11.4,64622.60241997389
66,15566.454472170662,AshDec depollution,9339.872683302396,59.999999999999986,10.7,99936.63771133566,RecoPhos,9495.537228024104,61.0,11.4,108249.1243994748
67,19486.677577712933,AshDec depollution,11692.00654662776,60.0,10.7,125104.47004891704,RecoPhos,11886.873322404888,61.0,11.4,135510.35587541573
68,13148.39998862346,AshDec depollution,7889.039993174077,60.00000000000001,10.7,84412.72792696263,RecoPhos,8020.523993060311,61.00000000000001,11.4,91433.97352088756
69,18763.87105053862,AshDec depollution,11258.322630323171,60.0,10.7,120464.05214445796,RecoPhos,11445.961340828557,61.0,11.4,130483.95928544555
70,18209.14724044294,AshDec depollution,10925.488344265765,60.0,10.7,116902.7252836437,RecoPhos,11107.579816670192,60.999999999999986,11.4,126626.4099100402
71,6206.772123148669,AshDec depollution,3724.063273889202,60.0,10.7,39847.47703061446,RecoPhos,3786.130995120688,61.0,11.4,43161.89334437584
72,21445.973588058867,AshDec depollution,12867.58415283532,60.0,10.7,137683.15043533794,RecoPhos,13082.043888715909,61.0,11.4,149135.30033136136
73,26394.184050074316,AshDec depollution,15836.510430044587,59.999999999999986,10.7,169450.6616014771,RecoPhos,16100.452270545333,61.0,11.4,183545.1558842168
74,8756.310523289434,AshDec depollution,5253.78631397366,60.0,10.7,56215.51355951817,RecoPhos,5341.349419206555,61.0,11.4,60891.38337895472
75,7585.65415783369,AshDec depollution,4551.392494700214,60.0,10.7,48699.8996932923,RecoPhos,4627.249036278551,61.0,11.4,52750.639013575485
76,20250.073514588472,AshDec depollution,12150.044108753083,60.0,10.7,130005.471963658,RecoPhos,12352.544843898968,61.0,11.4,140819.01122044824
77,8438.56515421107,AshDec depollution,5063.139092526641,60.0,10.7,54175.58829003507,RecoPhos,5147.524744068753,61.0,11.4,58681.78208238378
78,8517.890602320544,AshDec depollution,5110.734361392326,60.0,10.7,54684.85766689789,RecoPhos,5195.913267415532,61.0,11.4,59233.41124853706
79,13893.331369452131,AshDec depollution,8335.998821671279,60.0,10.7,89195.18739188269,RecoPhos,8474.9321353658,61.0,11.4,96614.22634317011
80,10380.383745663696,AshDec depollution,6228.230247398218,60.00000000000001,10.7,66642.06364716095,RecoPhos,6332.034084854855,61.00000000000001,11.4,72185.18856734535
81,12622.484988641603,AshDec depollution,7573.490993184962,60.0,10.7,81036.35362707911,RecoPhos,7699.715843071379,61.00000000000001,11.4,87776.76061101373
82,28290.08665293792,AshDec depollution,16974.05199176275,60.0,10.7,181622.35631186143,RecoPhos,17256.95285829213,61.0,11.4,196729.26258453028
83,21303.76532189603,AshDec depollution,12782.259193137616,59.999999999999986,10.7,136770.17336657253,RecoPhos,12995.296846356578,61.0,11.4,148146.384048465
84,16045.073266420408,AshDec depollution,9627.043959852244,60.0,10.7,103009.37037041904,RecoPhos,9787.49469251645,61.00000000000001,11.4,111577.43949468753
85,18572.493878351997,AshDec depollution,11143.496327011197,59.999999999999986,10.7,119235.41069901982,RecoPhos,11329.221265794717,60.999999999999986,11.4,129153.12243005975
86,5195.118734539483,AshDec depollution,3117.0712407236897,60.0,10.7,33352.66227574348,RecoPhos,3169.0224280690845,61.0,11.4,36126.855679987566
87,22105.20061194549,AshDec depollution,13263.120367167294,60.0,10.7,141915.38792869006,RecoPhos,13484.172373286749,61.0,11.4,153719.5650554689
88,19081.471977540856,AshDec depollution,11448.883186524514,60.0,10.7,122503.05009581232,RecoPhos,11639.697906299922,61.0,11.4,132692.55613181912
89,19953.84247773858,AshDec depollution,11972.305486643148,60.0,10.7,128103.6687070817,RecoPhos,12171.843911420534,61.0,11.4,138759.0205901941
