,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
0,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
1,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
2,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
3,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
4,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
5,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
6,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
7,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
8,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
9,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
10,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
11,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
12,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
13,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
14,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
15,2835.3867595782576,AshDec depollution,1701.2320557469543,59.999999999999986,10.7,18203.18299649241,RecoPhos,1729.585923342737,61.0,11.4,19717.2795261072
