,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
375,517.432513562615,AshDec depollution,444.9919616638489,86.0,9.8,4360.921224305719,RecoPhos,450.166286799475,87.0,10.5,4726.746011394488
503,344266.8463643088,AshDec depollution,296069.4878733056,86.00000000000001,9.8,2901480.981158395,RecoPhos,299512.1563369486,86.99999999999999,10.5,3144877.6415379606
1412,939.6345021664785,AshDec depollution,808.0856718631713,85.99999999999999,9.8,7919.239584259079,RecoPhos,817.4820168848362,86.99999999999999,10.5,8583.56117729078
1436,50178.558818912585,AshDec depollution,43153.56058426482,86.0,9.8,422904.89372579526,RecoPhos,43655.34617245395,87.00000000000001,10.5,458381.1348107665
7059,33034.406089011136,AshDec depollution,28409.58923654957,85.99999999999999,9.8,278413.97451818583,RecoPhos,28739.93329743969,87.0,10.5,301769.29962311673
7391,294.8161675239596,AshDec depollution,253.54190407060528,86.0,9.8,2484.710659891932,RecoPhos,256.49006574584484,86.99999999999999,10.5,2693.145690331371
7890,33286.11689773517,AshDec depollution,28626.060532052245,86.0,9.8,280535.39321411203,RecoPhos,28958.9217010296,87.00000000000001,10.5,304068.6778608108
8469,457.8510468539501,AshDec depollution,393.75190029439705,85.99999999999999,9.8,3858.768622885091,RecoPhos,398.3304107629365,86.99999999999997,10.5,4182.4693130108335
8493,11351.415152408368,AshDec depollution,9762.217031071195,85.99999999999999,9.8,95669.72690449774,RecoPhos,9875.73118259528,87.0,10.5,103695.17741725044
8983,72569.73561480104,AshDec depollution,62409.972628728894,86.0,9.8,611617.7317615432,RecoPhos,63135.669984876906,87.0,10.5,662924.5348412076
9220,60870.67596427194,AshDec depollution,52348.781329273865,85.99999999999999,9.8,513018.057026884,RecoPhos,52957.48808891659,87.0,10.5,556053.6249336242
9281,18889.507513912,AshDec depollution,16244.97646196432,85.99999999999999,9.8,159200.76932725037,RecoPhos,16433.87153710344,87.0,10.5,172555.65113958617
9389,17795.682838041856,AshDec depollution,15304.287240715996,86.0,9.8,149982.01495901676,RecoPhos,15482.244069096414,87.0,10.5,162563.56272551234
9390,41277.22225900892,AshDec depollution,35498.411142747675,86.0,9.8,347884.42919892725,RecoPhos,35911.18336533776,87.0,10.5,377067.4253360465
9562,20823.972169116158,AshDec depollution,17908.616065439892,85.99999999999999,9.8,175504.43744131096,RecoPhos,18116.85578713105,86.99999999999997,10.5,190226.98576487607
9835,9880.291465938588,AshDec depollution,8497.050660707186,86.0,9.8,83271.09647493043,RecoPhos,8595.853575366571,87.0,10.5,90256.462541349
9840,52284.552855607886,AshDec depollution,44964.71545582279,86.00000000000001,9.8,440654.21146706335,RecoPhos,45487.56098437886,87.0,10.5,477619.39033597807
9881,3214.139828284951,AshDec depollution,2764.1602523250576,86.0,9.8,27088.770472785567,RecoPhos,2796.301650607907,86.99999999999999,10.5,29361.167331383025
9914,11279.190513354666,AshDec depollution,9700.103841485012,85.99999999999999,9.8,95061.01764655313,RecoPhos,9812.89574661856,87.00000000000001,10.5,103035.40533949489
9963,11435.218565873589,AshDec depollution,9834.287966651284,85.99999999999997,9.8,96376.0220731826,RecoPhos,9948.640152310025,87.00000000000003,10.5,104460.72159925524
9985,41240.33232233893,AshDec depollution,35466.68579721148,86.0,9.8,347573.52081267256,RecoPhos,35879.089120434866,86.99999999999999,10.5,376730.4357645661
10338,23767.112423016533,AshDec depollution,20439.716683794217,85.99999999999999,9.8,200309.22350118333,RecoPhos,20677.387808024385,87.0,10.5,217112.57198425604
10411,29445.278317245928,AshDec depollution,25322.939352831498,86.0,9.8,248164.8056577487,RecoPhos,25617.39213600396,87.00000000000001,10.5,268982.6174280415
10555,18474.545361511387,AshDec depollution,15888.109010899792,86.0,9.8,155703.468306818,RecoPhos,16072.854464514909,87.00000000000001,10.5,168764.97187740653
10564,69105.16970058279,AshDec depollution,59430.4459425012,86.00000000000001,9.8,582418.3702365118,RecoPhos,60121.49763950703,87.00000000000001,10.5,631275.7252148237
10565,41495.49828808551,AshDec depollution,35686.128527753535,85.99999999999999,9.8,349724.0595719847,RecoPhos,36101.0835106344,87.00000000000003,10.5,379061.3768616612
10566,26111.34518930634,AshDec depollution,22455.756862803453,86.00000000000001,9.8,220066.41725547385,RecoPhos,22716.87031469652,87.00000000000003,10.5,238527.1383043134
10567,9974.732240720758,AshDec depollution,8578.269727019851,86.0,9.8,84067.04332479455,RecoPhos,8678.017049427059,87.0,10.5,91119.17901898413
