ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units
375,Stelco Inc.,Lake Erie,Haldimand County,ON,42.794,-80.109,operational,3528,Haldimand-Norfolk,162.31300000000002,164.763,135.975,125.563,161.70000000000002,202.125,187.645,thousand m3
503,Regional Municipality of Durham,Duffin Creek WPCP,Pickering,ON,43.8156,-79.0484,operational,3518,Durham,125615.302,125187.393,116781.05900000001,116277.13,121734.342,125252.937,124847.107,thousand m3
1412,Bruce Power LP,Bruce Power,Tiverton,ON,44.3233,-81.5875,operational,3541,Bruce,376.6781,411.127,411.6526,389.8714,391.904,353.07450000000006,340.755,thousand m3
1436,The Corporation of the City of Barrie,Water Pollution Control Centre,Barrie,ON,44.3776,-79.692,operational,3543,Simcoe,18676.695,18465.94,17527.87,17707.779,18509.843,18110.898,18197.07,thousand m3
7059,City of Sarnia,Water Pollution Control Centre,Sarnia,ON,42.9528,-82.4065,operational,3538,Lambton,8504.6068,7976.2739,8365.631,9427.261,10084.169,10682.976,11979.806,thousand m3
7391,DEPARTMENT OF NATIONAL DEFENCE,4th Canadian Division Training Centre,Meaford,ON,44.6653,-80.6754,operational,3542,Grey,103.055,96.526,93.426,113.827,113.86500000000001,112.505,106.914,thousand m3
7890,The Corporation of the City of Belleville,Belleville Wastewater Treatment Facility,Belleville,ON,44.1572,-77.3725,operational,3512,Hastings,9264.721,10250.038700000001,8143.523,7614.18,12558.3369,11844.732,12071.088,thousand m3
8469,Canadian Nuclear Laboratories,Chalk River Laboratories,Chalk River,ON,46.0524,-77.3618,operational,3547,Renfrew,207.058,208.80700000000002,210.019,205.702,227.476,210.652,166.038,thousand m3
8493,The Corporation of the Town of Kirkland Lake,Kirkland Lake Wastewater Treatment Plant,Kirkland Lake,ON,48.1372,-80.0363,operational,3554,Timiskaming,2981.938,3228.647,3246.835,2629.072,3309.3116,3332.0829999999996,4116.549,thousand m3
8983,City of Thunder Bay,Water Pollution Control Plant,Thunder Bay,ON,48.3964,-89.2259,operational,3558,Thunder Bay,29879.089,85751.5,29331.59,31344.5,30286.1863,25684.939,26317.148,thousand m3
9220,City of Greater Sudbury,Sudbury Wastewater Treatment Plant,Sudbury,ON,46.4647,-81.0352,operational,3553,Greater Sudbury / Grand Sudbury,23619.100000000002,28160.682,32011.6,22569.554,22400.561,18024.962,22074.527000000002,thousand m3
9281,City of Brockville (Corporation of the),Water Pollution Control Centre,Brockville,ON,44.6015,-75.6621,operational,3507,Leeds and Grenville,5532.572,5985.055399999999,5634.838,5671.4637,7227.6732,6181.8217,6850.210500000001,thousand m3
9389,City of Sault Ste. Marie,West End Water Pollution Control Plant,Sault Ste. Marie,ON,46.5239,-84.4076,operational,3557,Algoma,6569.351000000001,6281.178,5542.9529999999995,5183.883,6378.343,5037.284,6453.539000000001,thousand m3
9390,City of Sault Ste. Marie,East Wastewater Treatment Plant,Sault Ste. Marie,ON,46.5053,-84.2572,operational,3557,Algoma,12547.464,12392.997,10326.361,9755.35,11807.155,9726.786,14969.033000000001,thousand m3
9562,Corporation of the Municipality of Leamington,LEAMINGTON POLLUTION CONTROL CENTRE,Leamington,ON,42.0359,-82.588,operational,3537,Essex,7361.591,6610.6050000000005,6503.04,6694.878,6974.618,7187.49,7551.737,thousand m3
9835,The Regional Municipality of York,Keswick WPCP,Keswick,ON,44.2327,-79.4614,operational,3519,York,4146.109,3563.514,3007.873,3284.462,3775.039,3576.9266000000002,3583.0514000000003,thousand m3
9840,Corporation of the City of Cornwall,Cornwall Wastewater Treatment Plant,Cornwall,ON,45.0291,-74.6787,operational,3501,"Stormont, Dundas and Glengarry",16905.0,16074.048999999999,15125.312,16403.788,19199.398,17661.124,18960.801,thousand m3
9881,DEPARTMENT OF NATIONAL DEFENCE,Canadian Forces Base Borden,Borden,ON,44.3021,-79.8975,operational,3543,Simcoe,1257.673,1229.059,1032.001,1095.772,1244.6480000000001,1298.73,1165.596,thousand m3
9914,City of Kawartha Lakes,Lindsay WPCP,Lindsay,ON,44.39,-78.7439,operational,3516,Kawartha Lakes,5513.755,5369.8150000000005,4738.452,3912.735,5114.483,4487.236,4090.357,thousand m3
9963,Town of Orangeville,Orangeville Water Pollution Control Plant,Orangeville,ON,43.9167,-80.0864,operational,3522,Dufferin,4242.403,4175.188,3738.123,3824.58,4554.443,4241.524,4146.94,thousand m3
9985,City of Peterborough,PTBO WASTE WATER TREATMENT PLANT,Peterborough,ON,44.2771,-78.3183,operational,3515,Peterborough,16078.606,16151.479000000001,14382.516,13882.305,16220.221000000001,14905.457,14955.655,thousand m3
10338,County of Oxford,Woodstock Wastewater Treatment Plant,Woodstock,ON,43.1366,-80.7729,operational,3532,Oxford,8697.15,7383.676,6159.391,7413.814,8399.734,8362.058,8619.056,thousand m3
10411,The Corporation of the City of Kingston,CATARAQUI BAY WASTEWATER TREATMENT,Kingston,ON,44.2136,-76.5516,operational,3510,Frontenac,9731.098,9694.398000000001,9547.449,9535.693,10965.0059,10571.383,10678.222,thousand m3
10555,City of St Thomas,Water Pollution Control Plant,St. Thomas,ON,42.7684,-81.2056,operational,3534,Elgin,6567.22,6229.2970000000005,5240.763,5643.019,5800.614,6355.738,6699.726000000001,thousand m3
10564,Regional Municipality of Waterloo,Kitchener Wastewater Treatment Plant,Kitchener,ON,43.4001,-80.4218,operational,3530,Waterloo,26554.947,27365.0822,25016.4918,23963.81,25133.8756,24898.4635,25060.7359,thousand m3
10565,Regional Municipality of Waterloo,Waterloo Wastewater Treatment Plant,Waterloo,ON,43.4867,-80.5061,operational,3530,Waterloo,18327.067,18056.9567,13314.650000000001,15234.367,16276.525000000001,15944.943000000001,15048.19,thousand m3
10566,Regional Municipality of Waterloo,Galt Wastewater Treatment Plant,Cambridge,ON,43.3386,-80.3161,operational,3530,Waterloo,9068.1833,9028.7576,7712.2299,6715.5193,8770.9162,9080.583,9469.1834,thousand m3
10567,Regional Municipality of Waterloo,Preston Wastewater Treatment Plant,Cambridge,ON,43.3875,-80.3513,operational,3530,Waterloo,3423.518,3458.3789,3190.4152000000004,3285.6863000000003,3454.5992,3516.2187000000004,3617.2999999999997,thousand m3
10568,City of Stratford,STRATFORD WASTE WATER TREATMENT PLANT,Stratford,ON,43.3694,-81.0061,operational,3531,Perth,5356.987,7016.344,5957.254,5952.818,6945.1990000000005,6752.536,6957.5092,thousand m3
10684,The Corporation of the City of Kingston,Ravensview Wastewater Treatment,Kingston,ON,44.2417,-76.4207,operational,3510,Frontenac,21547.599000000002,22234.975000000002,19372.715,20567.793,28503.425,22308.634000000002,27883.374,thousand m3
11004,DEPARTMENT OF NATIONAL DEFENCE,8 Wing Trenton Environmental Management,Astra,ON,44.1041,-77.5432,operational,3512,Hastings,826.625,964.6260000000001,773.2660000000001,755.8100000000001,876.164,820.5450000000001,951.4440000000001,thousand m3
11104,Norfolk County Public Works & Environmental Services,Simcoe Sewage Treatment Plant,Simcoe,ON,42.8285,-80.2959,operational,3528,Haldimand-Norfolk,2661.375,2636.951,2409.423,2323.411,2445.422,2737.098,2627.407,thousand m3
11122,The Regional Municipality of Halton,Georgetown Wastewater Treatment Plant,Halton Hills,ON,43.6404,-79.8788,operational,3524,Halton,6468.71,6391.984,6071.064,5845.51,6088.015,5941.1900000000005,6062.676,thousand m3
11148,The Regional Municipality of Halton,Mid-Halton Wastewater Treatment Plant,Oakville,ON,43.4131,-79.6933,operational,3524,Halton,19076.453,19246.848,19222.506,20854.249,21664.598,22423.983,23661.567,thousand m3
11407,City of Windsor,Lou Romano Water Reclamation Plant,Windsor,ON,42.2823,-83.0815,operational,3537,Essex,55099.2479,49667.8254,48665.6089,50275.7804,51717.8387,58836.718100000006,57349.8924,thousand m3
11440,City of Windsor,Little River Pollution Control Plant 1,Windsor,ON,42.3308,-82.9277,operational,3537,Essex,6898.881,6719.777,6195.891,6924.543,6791.406,7224.707,8239.329,thousand m3
